arch,mode,scale,dataset,mech,cell,vanilla,test_cer,vanilla_cer,delta,engaged,engagement_metric,helpful,bucket
rwkv6,causal,7M,LS,MSDC,7m_rwkv6_causal_multidil_v2_seed42,7m_rwkv6_causal_vanilla_seed42,0.07882414054479026,0.10490400184878454,-0.026079861303994284,True,2.576500177383423,True,engaged-and-helpful
rwkv6,causal,7M,LS,CVD,7m_rwkv6_causal_lucid_chunked_seed42,7m_rwkv6_causal_vanilla_seed42,0.10072819470227588,0.10490400184878454,-0.004175807146508656,True,1.3663651943206787,False,engaged-without-gain
rwkv6,causal,7M,LS,DHO,7m_rwkv6_causal_rse_depth_viscosity_seed42,7m_rwkv6_causal_vanilla_seed42,0.0988523555692622,0.10490400184878454,-0.006051646279522344,True,0.2917710840702057,True,engaged-and-helpful
rwkv6,causal,14M,LS,MSDC,14m_rwkv6_causal_multidil_v2_seed42,14m_rwkv6_causal_vanilla_seed42,,,,,,,missing
rwkv6,causal,14M,LS,CVD,14m_rwkv6_causal_lucid_chunked_seed42,14m_rwkv6_causal_vanilla_seed42,0.10510374735159322,0.11032851844596554,-0.005224771094372319,True,1.131638526916504,True,engaged-and-helpful
rwkv6,causal,14M,LS,DHO,14m_rwkv6_causal_rse_strong_viscosity_seed42,14m_rwkv6_causal_vanilla_seed42,0.10766840096291871,0.11032851844596554,-0.0026601174830468283,True,0.26245829463005066,False,engaged-without-gain
rwkv6,LION-S,7M,LS,MSDC,7m_rwkv6_lion_multidil_v2_seed42,7m_rwkv6_lion_vanilla_seed42,0.07498351283955677,0.08590564307951391,-0.01092213023995714,True,2.507965087890625,True,engaged-and-helpful
rwkv6,LION-S,7M,LS,CVD,7m_rwkv6_lion_lucid_chunked_seed42,7m_rwkv6_lion_vanilla_seed42,0.08523848469721086,0.08590564307951391,-0.0006671583823030514,True,1.3328654766082764,False,engaged-without-gain
rwkv6,LION-S,7M,LS,DHO,7m_rwkv6_lion_rse_depth_viscosity_seed42,7m_rwkv6_lion_vanilla_seed42,0.07396077297790715,0.08590564307951391,-0.011944870101606761,True,0.2518567740917206,True,engaged-and-helpful
rwkv6,causal,7M,CV,MSDC,cv_pilot_rwkv6_multidil_v2_seed42,cv_pilot_rwkv6_seed42,0.29526651137464377,0.32914222496357565,-0.03387571358893188,True,2.376707077026367,True,engaged-and-helpful
rwkv6,causal,7M,CV,CVD,cv_pilot_rwkv6_lucid_chunked_seed42,cv_pilot_rwkv6_seed42,0.3248087211431287,0.32914222496357565,-0.004333503820446949,True,1.0311951637268066,False,engaged-without-gain
rwkv6,causal,7M,CV,DHO,cv_pilot_rwkv6_rse_depth_viscosity_seed42,cv_pilot_rwkv6_seed42,0.31136311947583806,0.32914222496357565,-0.01777910548773759,True,0.34480559825897217,True,engaged-and-helpful
mamba2,causal,7M,LS,MSDC,7m_mamba2_causal_multidil_v2_seed42,7m_mamba2_causal_vanilla_seed42,0.08253682004496828,0.10360394253724622,-0.021067122492277948,True,1.0501667261123657,True,engaged-and-helpful
mamba2,causal,7M,LS,CVD,7m_mamba2_causal_lucid_c_seed42,7m_mamba2_causal_vanilla_seed42,0.09575546987025482,0.10360394253724622,-0.007848472666991402,True,1.2328875064849854,True,engaged-and-helpful
mamba2,causal,7M,LS,DHO,7m_mamba2_causal_rse_strong_viscosity_seed42,7m_mamba2_causal_vanilla_seed42,0.10379690324354124,0.10360394253724622,0.0001929607062950145,True,1.2084879875183105,False,engaged-without-gain
mamba2,causal,14M,LS,MSDC,14m_mamba2_causal_multidil_v2_seed42,14m_mamba2_causal_vanilla_seed42,0.06310475286346558,0.08270117671972581,-0.01959642385626023,True,0.9885706305503845,True,engaged-and-helpful
mamba2,causal,14M,LS,CVD,14m_mamba2_causal_lucid_c_seed42,14m_mamba2_causal_vanilla_seed42,0.07283139652639722,0.08270117671972581,-0.009869780193328584,True,0.731774091720581,True,engaged-and-helpful
mamba2,causal,14M,LS,DHO,14m_mamba2_causal_rse_depth_viscosity_seed42,14m_mamba2_causal_vanilla_seed42,0.08334875922917613,0.08270117671972581,0.0006475825094503229,True,0.39206525683403015,False,engaged-without-gain
mamba2,LION-S,7M,LS,MSDC,7m_mamba2_lion_multidil_v2_seed42,7m_mamba2_lion_vanilla_seed42,0.08333533203559235,0.08534296124906617,-0.002007629213473819,True,1.1448180675506592,False,engaged-without-gain
mamba2,LION-S,7M,LS,CVD,7m_mamba2_lion_lucid_c_seed42,7m_mamba2_lion_vanilla_seed42,0.08493197898373261,0.08534296124906617,-0.000410982265333551,True,0.9457616806030273,False,engaged-without-gain
mamba2,LION-S,7M,LS,DHO,7m_mamba2_lion_rse_depth_viscosity_seed42,7m_mamba2_lion_vanilla_seed42,0.08245702290458261,0.08534296124906617,-0.0028859383444835573,True,0.6505069136619568,False,engaged-without-gain
mamba2,causal,7M,CV,MSDC,cv_pilot_mamba2_multidil_v2_seed42,cv_pilot_mamba2_seed42,0.2791125703413229,0.313551430786982,-0.03443886044565908,True,1.0205128192901611,True,engaged-and-helpful
mamba2,causal,7M,CV,CVD,cv_pilot_mamba2_lucid_c_seed42,cv_pilot_mamba2_seed42,0.3003910878468405,0.313551430786982,-0.013160342940141512,True,0.8456904888153076,True,engaged-and-helpful
mamba2,causal,7M,CV,DHO,cv_pilot_mamba2_rse_depth_viscosity_seed42,cv_pilot_mamba2_seed42,0.2909641952280941,0.313551430786982,-0.02258723555888792,True,0.36006420850753784,True,engaged-and-helpful
linear_attn,causal,7M,LS,MSDC,7m_linear_attn_causal_multidil_v2_seed42,7m_linear_attn_causal_vanilla_seed42,0.14088142042453258,0.18787162486989892,-0.046990204445366335,True,1.8757585287094116,True,engaged-and-helpful
linear_attn,causal,7M,LS,CVD,7m_linear_attn_causal_lucid_seed42,7m_linear_attn_causal_vanilla_seed42,0.17139477518003854,0.18787162486989892,-0.01647684968986038,True,1.2161136865615845,True,engaged-and-helpful
linear_attn,causal,7M,LS,DHO,7m_linear_attn_causal_rse_strong_viscosity_seed42,7m_linear_attn_causal_vanilla_seed42,0.11975704603990174,0.18787162486989892,-0.06811457882999718,True,0.7643773555755615,True,engaged-and-helpful
linear_attn,causal,14M,LS,MSDC,14m_linear_attn_causal_multidil_v2_seed42,14m_linear_attn_causal_vanilla_seed42,0.0968765069796977,0.1358674614826368,-0.03899095450293909,True,2.1131441593170166,True,engaged-and-helpful
linear_attn,causal,14M,LS,CVD,14m_linear_attn_causal_lucid_seed42,14m_linear_attn_causal_vanilla_seed42,0.13002124727728748,0.1358674614826368,-0.005846214205349309,True,1.1035890579223633,True,engaged-and-helpful
linear_attn,causal,14M,LS,DHO,14m_linear_attn_causal_rse_strong_viscosity_seed42,14m_linear_attn_causal_vanilla_seed42,0.09470930123933809,0.1358674614826368,-0.0411581602432987,True,0.682562530040741,True,engaged-and-helpful
linear_attn,LION-LIT,7M,LS,MSDC,7m_linear_attn_lion_multidil_v2_seed42,7m_linear_attn_lion_vanilla_seed42,0.14042741452579666,0.2950824423490674,-0.15465502782327073,True,1.8098595142364502,True,engaged-and-helpful
linear_attn,LION-LIT,7M,LS,CVD,7m_linear_attn_lion_lucid_seed42,7m_linear_attn_lion_vanilla_seed42,0.3194148812231418,0.2950824423490674,0.024332438874074436,True,1.234308123588562,False,engaged-without-gain
linear_attn,LION-LIT,7M,LS,DHO,7m_linear_attn_lion_rse_depth_viscosity_seed42,7m_linear_attn_lion_vanilla_seed42,0.10417811525089761,0.2950824423490674,-0.1909043270981698,True,1.054919958114624,True,engaged-and-helpful
linear_attn,LION-S,7M,LS,MSDC,7m_linear_attn_lion_s_multidil_v2_seed42,7m_linear_attn_lion_s_vanilla_seed42,0.11537333182838862,0.13808946741206793,-0.02271613558367931,True,1.7031631469726562,True,engaged-and-helpful
linear_attn,LION-S,7M,LS,CVD,7m_linear_attn_lion_s_lucid_seed42,7m_linear_attn_lion_s_vanilla_seed42,0.1310894415652763,0.13808946741206793,-0.00700002584679163,True,1.29603111743927,True,engaged-and-helpful
linear_attn,LION-S,7M,LS,DHO,7m_linear_attn_lion_s_rse_depth_viscosity_seed42,7m_linear_attn_lion_s_vanilla_seed42,0.0988,0.13808946741206793,-0.03928946741206793,True,0.6117034554481506,True,engaged-and-helpful
linear_attn,causal,7M,CV,MSDC,cv_pilot_linear_attn_multidil_v2_seed42,cv_pilot_linear_attn_seed42,0.32512095934990404,0.3768237687915315,-0.05170280944162747,True,1.9816893339157104,True,engaged-and-helpful
linear_attn,causal,7M,CV,CVD,cv_pilot_linear_attn_lucid_seed42,cv_pilot_linear_attn_seed42,0.3556102390163483,0.3768237687915315,-0.021213529775183204,True,0.7795188426971436,True,engaged-and-helpful
linear_attn,causal,7M,CV,DHO,cv_pilot_linear_attn_rse_strong_viscosity_seed42,cv_pilot_linear_attn_seed42,0.3417730624545388,0.3768237687915315,-0.0350507063369927,True,0.6807421445846558,True,engaged-and-helpful
