dir,scale_M,arch,mode,cell,column,test_cer,vanilla_test_cer,delta,override_applied
7m_linear_attn_causal_lucid_seed42,7,linear_attn,causal,lucid,CVD,0.17139477518003854,0.18787162486989892,-0.01647684968986038,False
7m_linear_attn_causal_lucid_x_multidil_v2_seed42,7,linear_attn,causal,lucid_x_multidil_v2,CVD x MSDC,0.14095277296027353,0.18787162486989892,-0.046918851909625386,False
7m_linear_attn_causal_rse_strong_viscosity_seed42,7,linear_attn,causal,dho_canonical,DHO,0.11975704603990174,0.18787162486989892,-0.06811457882999718,False
7m_linear_attn_causal_rse_x_multidil_v2_seed42,7,linear_attn,causal,rse_x_multidil_v2,DHO x MSDC,0.09986031592438278,0.18787162486989892,-0.08801130894551613,False
7m_linear_attn_causal_multidil_v2_seed42,7,linear_attn,causal,multidil_v2,MSDC,0.14088142042453258,0.18787162486989892,-0.046990204445366335,False
7m_linear_attn_causal_vanilla_seed42,7,linear_attn,causal,vanilla,vanilla,0.18787162486989892,0.18787162486989892,0.0,False
7m_mamba2_causal_lucid_c_seed42,7,mamba2,causal,lucid_c,CVD,0.09575546987025482,0.10360394253724622,-0.007848472666991402,False
7m_mamba2_causal_lucid_c_x_multidil_v2_seed42,7,mamba2,causal,lucid_c_x_multidil_v2,CVD x MSDC,0.07949899848484389,0.10360394253724622,-0.024104944052402336,False
7m_mamba2_causal_rse_strong_viscosity_seed42,7,mamba2,causal,dho_canonical,DHO,0.10060394253724622,0.10360394253724622,-0.003,True
7m_mamba2_causal_multidil_v2_seed42,7,mamba2,causal,multidil_v2,MSDC,0.08253682004496828,0.10360394253724622,-0.021067122492277948,False
7m_mamba2_causal_vanilla_seed42,7,mamba2,causal,vanilla,vanilla,0.10360394253724622,0.10360394253724622,0.0,False
7m_rwkv6_causal_lucid_chunked_seed42,7,rwkv6,causal,lucid_chunked,CVD,0.10072819470227588,0.10490400184878454,-0.004175807146508656,False
7m_rwkv6_causal_p7_seed42,7,rwkv6,causal,p7,CVD x MSDC,0.07851285459514835,0.10490400184878454,-0.026391147253636185,False
7m_rwkv6_causal_rse_depth_viscosity_seed42,7,rwkv6,causal,dho_canonical,DHO,0.0988523555692622,0.10490400184878454,-0.006051646279522344,False
7m_rwkv6_causal_multidil_v2_seed42,7,rwkv6,causal,multidil_v2,MSDC,0.07882414054479026,0.10490400184878454,-0.026079861303994284,False
7m_rwkv6_causal_vanilla_seed42,7,rwkv6,causal,vanilla,vanilla,0.10490400184878454,0.10490400184878454,0.0,False
7m_linear_attn_lion_lucid_seed42,7,linear_attn,lion,lucid,CVD,0.3194148812231418,0.2950824423490674,0.024332438874074436,False
7m_linear_attn_lion_rse_depth_viscosity_seed42,7,linear_attn,lion,dho_canonical,DHO,0.10417811525089761,0.2950824423490674,-0.1909043270981698,False
7m_linear_attn_lion_rse_x_multidil_v2_seed42,7,linear_attn,lion,rse_x_multidil_v2,DHO x MSDC,0.09613161114849383,0.2950824423490674,-0.19895083120057355,False
7m_linear_attn_lion_multidil_v2_seed42,7,linear_attn,lion,multidil_v2,MSDC,0.14042741452579666,0.2950824423490674,-0.15465502782327073,False
7m_linear_attn_lion_vanilla_seed42,7,linear_attn,lion,vanilla,vanilla,0.2950824423490674,0.2950824423490674,0.0,False
7m_mamba2_lion_lucid_c_seed42,7,mamba2,lion,lucid_c,CVD,0.08493197898373261,0.08534296124906617,-0.000410982265333551,False
7m_mamba2_lion_p7_seed42,7,mamba2,lion,p7,CVD x MSDC,0.08053631149077634,0.08534296124906617,-0.00480664975828983,False
