arch,column,marker,dir_7M,cell_7M,cer_7M,delta_7M,dir_14M,cell_14M,cer_14M,delta_14M,delta_growth
linear_attn,CVD,cvd,7m_linear_attn_causal_lucid_seed42,lucid,0.17139477518003854,-0.01647684968986038,14m_linear_attn_causal_lucid_seed42,lucid,0.13002124727728748,-0.005846214205349309,0.01063063548451107
linear_attn,DHO,dho,7m_linear_attn_causal_rse_strong_viscosity_seed42,rse_strong_viscosity,0.11975704603990174,-0.06811457882999718,14m_linear_attn_causal_rse_strong_viscosity_seed42,rse_strong_viscosity,0.09470930123933809,-0.0411581602432987,0.026956418586698477
linear_attn,DHO x MSDC,msdc_x_dho,7m_linear_attn_causal_rse_x_multidil_v2_seed42,rse_x_multidil_v2,0.09986031592438278,-0.08801130894551613,14m_linear_attn_causal_rse_x_multidil_v2_seed42,rse_x_multidil_v2,0.07860412342424045,-0.05726333805839634,0.030747970887119794
linear_attn,MSDC,msdc,7m_linear_attn_causal_multidil_v2_seed42,multidil_v2,0.14088142042453258,-0.046990204445366335,14m_linear_attn_causal_multidil_v2_seed42,multidil_v2,0.0968765069796977,-0.03899095450293909,0.007999249942427247
linear_attn,vanilla,vanilla,7m_linear_attn_causal_vanilla_seed42,vanilla,0.18787162486989892,0.0,14m_linear_attn_causal_vanilla_seed42,vanilla,0.1358674614826368,0.0,0.0
mamba2,CVD,cvd,7m_mamba2_causal_lucid_c_seed42,lucid_c,0.09575546987025482,-0.007848472666991402,14m_mamba2_causal_lucid_c_seed42,lucid_c,0.07283139652639722,-0.009869780193328584,-0.002021307526337182
mamba2,CVD x MSDC,msdc_x_cvd,7m_mamba2_causal_lucid_c_x_multidil_v2_seed42,lucid_c_x_multidil_v2,0.07949899848484389,-0.024104944052402336,14m_mamba2_causal_lucid_c_x_multidil_v2_seed42,lucid_c_x_multidil_v2,0.06179993986977487,-0.02090123684995094,0.003203707202451396
mamba2,DHO,dho,7m_mamba2_causal_rse_strong_viscosity_seed42,rse_strong_viscosity,0.10060394253724622,-0.003,14m_mamba2_causal_rse_depth_viscosity_seed42,rse_depth_viscosity,0.0781011767197258,-0.0046,-0.0015999999999999999
mamba2,MSDC,msdc,7m_mamba2_causal_multidil_v2_seed42,multidil_v2,0.08253682004496828,-0.021067122492277948,14m_mamba2_causal_multidil_v2_seed42,multidil_v2,0.06310475286346558,-0.01959642385626023,0.0014706986360177171
mamba2,vanilla,vanilla,7m_mamba2_causal_vanilla_seed42,vanilla,0.10360394253724622,0.0,14m_mamba2_causal_vanilla_seed42,vanilla,0.08270117671972581,0.0,0.0
rwkv6,CVD,cvd,7m_rwkv6_causal_lucid_chunked_seed42,lucid_chunked,0.10072819470227588,-0.004175807146508656,14m_rwkv6_causal_lucid_chunked_seed42,lucid_chunked,0.10510374735159322,-0.005224771094372319,-0.0010489639478636625
rwkv6,CVD x MSDC,msdc_x_cvd,7m_rwkv6_causal_p7_seed42,p7,0.07851285459514835,-0.026391147253636185,14m_rwkv6_causal_p7_seed42,p7,0.07455077706342446,-0.035777741382541084,-0.009386594128904899
rwkv6,DHO,dho,7m_rwkv6_causal_rse_depth_viscosity_seed42,rse_depth_viscosity,0.0988523555692622,-0.006051646279522344,14m_rwkv6_causal_rse_strong_viscosity_seed42,rse_strong_viscosity,0.10766840096291871,-0.0026601174830468283,0.0033915287964755153
rwkv6,MSDC,msdc,7m_rwkv6_causal_multidil_v2_seed42,multidil_v2,0.07882414054479026,-0.026079861303994284,14m_rwkv6_causal_multidil_v2_seed42,multidil_v2,0.07509779323940328,-0.03523072520656226,-0.009150863902567974
rwkv6,vanilla,vanilla,7m_rwkv6_causal_vanilla_seed42,vanilla,0.10490400184878454,0.0,14m_rwkv6_causal_vanilla_seed42,vanilla,0.11032851844596554,0.0,0.0
