epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.639296546915974,0.20316745517316986,2.2031347673447406,0.6013248313269227,0.9996429988099961,146.09556198120117,0.0002999888846687921,1.699608254731666,268493.954460483,7.755079168,1236
2,2.1351760185073494,0.1695279812030987,1.7061130570583656,0.455040228617879,0.9384569615232051,144.94843101501465,0.00029956777485836973,1.0643491265168081,269217.862224272,7.75399424,2472
3,1.7886336273167125,0.163811524673123,1.3965315564734038,0.3830109478382418,0.8673938913129711,145.30872893333435,0.00029853885807742963,0.9597202843254052,268731.9259282861,7.75399424,3708
4,1.5910178435466051,0.17644177446340245,1.2213396185734233,0.3401199023487828,0.804026180087267,145.72644972801208,0.00029690632961762437,0.9416460761842604,269683.73260456685,7.75399424,4944
5,1.4504734562245774,0.1669358842977711,1.123258560407357,0.3104209872744984,0.7746529155097184,146.6636176109314,0.0002946768459288701,0.930429878985226,268643.0495125331,7.75399424,6180
6,1.3509638117547946,0.17700369108463274,1.0182088007692431,0.28635768123435135,0.7256644188813963,148.11630845069885,0.00029185949747842537,0.9283723760769976,266377.2930779951,7.758837248,7416
7,1.2865482155462684,0.18166746063261652,0.951474130153656,0.2661943121250373,0.6880999603332011,147.58589553833008,0.0002884657716855409,0.9402231650252173,267251.8041709469,7.756215808,8652
8,1.2216580754152009,0.18446930315510512,0.9005793870472517,0.2551858829465636,0.6690400634668783,146.82673048973083,0.0002845095060828082,0.9411974928332764,268534.3508273016,7.756406272,9888
9,1.1800968181161047,0.18935934240126542,0.8602371010623995,0.2441066877459261,0.6496628322094407,147.6247057914734,0.0002800068318951874,0.955223821851042,267504.8971491446,7.75505664,11124
10,1.1303498849610294,0.18740086560453464,0.8134006007772977,0.23055599357659531,0.6216779055930186,146.95880889892578,0.0002749761082667646,0.9523180686057964,268004.74817776144,7.75554816,12360
11,1.0932482786741844,0.18655185661745838,0.7909001620089422,0.22348365938445727,0.6085085283617612,151.29698419570923,0.00026943784740342074,0.9631583692572263,261579.86442975383,7.755794432,13596
