epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5588453875969144,0.3315455224786682,1.8604733396749027,0.5157793728955999,0.9732645775485919,227.20312213897705,0.0002999888846687921,1.787525639275517,171000.31351242572,20.959042048,1236
2,1.8039019015228863,0.20438231239585206,1.3133161654237842,0.37345623901960884,0.8320706069020231,227.53296494483948,0.00029956777485836973,1.543974519065283,170844.5266383387,20.958469632,2472
3,1.5023061552094024,0.18648611077257518,1.1200156026199215,0.3284523034405591,0.7655890519635066,226.79490995407104,0.00029853885807742963,1.5032688775205303,171781.80340109792,20.958124032,3708
4,1.3418893718121507,0.19926946704240356,0.9435337469226024,0.2739294267318489,0.6808607695358985,226.64973855018616,0.00029690632961762437,1.4830248084365356,171597.1109283535,20.959330816,4944
5,1.2121435060952475,0.1840375865871083,0.8367590357045658,0.24669779779181752,0.6368901229670766,226.57576441764832,0.0002946768459288701,1.6033462184725455,171606.32214084332,20.957398016,6180
6,1.1165380493819135,0.19257853939571326,0.7696969939059899,0.22446717180772127,0.5918484728282427,228.15514826774597,0.00029185949747842537,1.9464860469777994,170965.38582227728,20.957015552,7416
7,1.0590501517829,0.19590599729095065,0.7100006889124386,0.20988054704536205,0.5687227290757636,227.32465243339539,0.0002884657716855409,2.038567632243857,171554.8839521266,20.95934208,8652
8,0.9985650287862734,0.1986446427000134,0.6547056387682431,0.1945870326529877,0.5295517651725505,227.93319582939148,0.0002845095060828082,2.1240401833188574,170904.24424381403,20.95704576,9888
9,0.9624934649776101,0.20143291215940612,0.6298876785841144,0.18540104037931485,0.5152915509718365,226.4737606048584,0.0002800068318951874,2.1568486618667744,171803.8732737177,20.957047808,11124
10,0.9166073363189944,0.19957211096558947,0.5963954060781197,0.1738052359435799,0.4881197937326458,226.16653418540955,0.0002749761082667646,2.135563070816515,172038.1756593767,20.958129152,12360
11,0.8848010807216746,0.19644365431248487,0.577897907280531,0.1669420146590177,0.47112257040856803,226.68835496902466,0.00026943784740342074,2.175831250870498,171689.55051792786,20.957138944,13596
