epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step,is_projected
1,2.4097602367401123,0.4340066813989238,1.6102874279022217,0.44917550683021545,0.9070408344268799,966.1534049510956,0.00029998025074699975,1.8692604303359985,9821.971247326452,10.222938112,1342,False
2,1.6779780387878418,0.21898292788500615,1.2265723943710327,0.3510362505912781,0.8043831586837769,964.4466297626495,0.0002995214136059917,1.660163402557373,9857.074748152225,10.222938112,2684,False
3,1.4432737827301025,0.21481350720692344,1.0571194887161255,0.3077741861343384,0.7458547949790955,968.7915596961975,0.00029845653366092123,1.6330207586288452,9768.486468642648,10.222938112,4026,False
4,1.3083031177520752,0.21454333193699904,0.9202569723129272,0.27084648609161377,0.6826061010360718,968.2674973011017,0.0002967899415835507,1.6565699577331543,9775.924602674768,10.222938112,5368,False
5,1.2113165855407715,0.21766908888934067,0.8400917053222656,0.2477012425661087,0.6406188011169434,967.9674232006073,0.00029452841509871415,1.7280821800231934,9783.319116302388,10.222938112,6710,False
6,1.1337422132492065,0.21998862253935708,0.7806908488273621,0.23088012635707855,0.6080325245857239,958.7424397468567,0.00029168115142055135,1.782019019126892,9920.611736034825,10.222938112,8052,False
7,1.0677968263626099,0.20660823208368287,0.7256269454956055,0.2122928947210312,0.5756446123123169,959.3075222969055,0.0002882597298491216,1.9766418933868408,9974.162857373734,10.222938112,9394,False
8,1.016149640083313,0.21071385023845518,0.6840973496437073,0.195038840174675,0.5394089818000793,967.7119023799896,0.0002842780646795107,2.792515993118286,9782.62063197533,10.222938112,10736,False
9,0.9755206108093262,0.22654782721526806,0.6443840265274048,0.1886504888534546,0.5200515389442444,914.5146510601044,0.0002797523486149408,3.204977035522461,10907.415202662873,10.222938112,12078,False
10,0.9377639293670654,0.2112800741665026,0.6106940507888794,0.18193164467811584,0.5114438533782959,960.7457799911499,0.0002747009869140103,3.27253794670105,9868.08204590851,10.222938112,13420,False
11,0.8924,0.2226,0.5692,0.1716,0.4792,961.0,0.0002694378474034,3.415,9800.0,10.222938112,14762,True
12,0.8727,0.2171,0.5503,0.1656,0.4653,961.0,0.0002634146309366,3.491,9800.0,10.222938112,16104,True
13,0.841,0.2084,0.5327,0.1609,0.455,961.0,0.0002569310178494,3.317,9800.0,10.222938112,17446,True
14,0.828,0.223,0.5264,0.1554,0.4501,961.0,0.0002500134443399,2.995,9800.0,10.222938112,18788,True
15,0.806,0.2136,0.4969,0.1504,0.4328,961.0,0.0002426901160307,3.131,9800.0,10.222938112,20130,True
16,0.7882,0.2272,0.4825,0.1485,0.4244,961.0,0.0002349908929636,2.834,9800.0,10.222938112,21472,True
17,0.7707,0.227,0.4675,0.142,0.4148,961.0,0.0002269471678489,3.217,9800.0,10.222938112,22814,True
18,0.7509,0.2304,0.4614,0.14,0.4096,961.0,0.0002185917380646,3.547,9800.0,10.222938112,24156,True
19,0.741,0.2161,0.4533,0.1369,0.3969,961.0,0.0002099586719295,3.181,9800.0,10.222938112,25498,True
20,0.733,0.2292,0.4415,0.1336,0.3882,961.0,0.0002010831697932,3.494,9800.0,10.222938112,26840,True
