epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.818607790438649,0.23282052869387407,2.4629225500168337,0.6955052316368407,1.0246648658201005,141.43018126487732,0.0002999906656168098,1.893459465834174,292608.7061555724,7.635160576,1212
2,2.4458058473497335,0.16901555363408383,2.2239346859916562,0.6211621332674467,0.9942019472705393,140.16668701171875,0.00029957904615007596,1.228861866070099,293013.14716551197,7.634176,2424
3,2.2825695563464277,0.19113320508019052,2.067697638946195,0.5908404066102575,0.9879915511684465,141.98173093795776,0.0002985591777528312,1.0659669198513817,290795.67091547645,7.63460352,3636
4,2.1667372484018306,0.223793243105829,1.9579150474840594,0.5501770050915709,1.0153324413252212,141.56816291809082,0.0002969352215320716,1.0519225607709128,291855.9483799875,7.63460352,4848
5,2.063634308356263,0.24112583616458097,1.8354096662613653,0.5287899484038354,0.9732650021458685,140.98297262191772,0.00029471380329913657,1.017073625237635,293415.79953535786,7.63460352,6060
6,1.9732141166236927,0.2597449747253028,1.7524226471301048,0.5003557560115255,0.9513518972002727,140.9432556629181,0.00029190398653611364,1.0080980404277053,292570.4605416763,7.63460352,7272
7,1.9110901831793707,0.2724722061226265,1.6788952696707942,0.4822635783752801,0.9213013220233437,140.92916321754456,0.00028851723541644086,1.0042251753236595,293761.7488303745,7.635160576,8484
8,1.8564064530256164,0.27468991566863254,1.6386454831207953,0.4713838685024063,0.927217187144985,140.31590366363525,0.00028456736803058534,1.0239445852859579,293638.58549681667,7.634797568,9696
9,1.815385704927712,0.2823787660081255,1.616722813537044,0.4635338337907828,0.9226140886790706,140.14958238601685,0.00028007050000763875,1.0197669439288255,293378.00280926406,7.634797568,10908
10,1.7729621281718264,0.28559892666591535,1.5854817994179264,0.4544995795529824,0.9267795982597427,142.30287194252014,0.0002750449787628566,1.0211788021987027,291018.8784702004,7.63460352,12120
11,1.7452071286959223,0.2888487940448594,1.536602223111737,0.44092816810580115,0.9052620063450388,142.15250658988953,0.00026951130863941345,1.011558679710127,291743.0025603498,7.635285504,13332
12,1.7141385023349975,0.2947699424903627,1.5010078390759807,0.43557145761264726,0.8927149865778025,141.43877911567688,0.0002634920672497996,1.0456350689182188,292018.0226853808,7.63460352,14544
13,1.6890943526926607,0.30322424895510647,1.4938114021093614,0.43047294119911395,0.8868411973105114,140.8195948600769,0.00025701181335818915,1.0325785071739662,292026.6747998382,7.635201536,15756
14,1.658812005035948,0.3027957576701241,1.4576552130522267,0.4197549098305508,0.8895003913054454,142.29065799713135,0.0002500969866796245,1.0369688108219173,292366.4457434711,7.63460352,16968
15,1.654858619318937,0.3200437759416343,1.4495783428991995,0.42105239807130085,0.8791497311352907,141.78110909461975,0.00024277580000484027,1.029841720664462,292297.31046801887,7.63460352,18180
16,1.6289603882791972,0.31252503724973885,1.4289410715141604,0.41043398050456736,0.8743194230558852,141.0018334388733,0.0002350781240908608,1.057028937802063,292808.6646067002,7.634750976,19392
17,1.6067040929503174,0.31098293830815704,1.4070391683809218,0.4079412903795368,0.8720641572627132,141.38228273391724,0.00022703536578702556,1.0401947718642333,292231.67235084705,7.635013632,20604
18,1.5830152551628183,0.31689548293474884,1.387980577926482,0.40369816659118435,0.8662576893623825,141.86197805404663,0.00021868033989369055,1.0527376546324676,291797.8499395413,7.63460352,21816
19,1.5573542195283148,0.3169580526384807,1.3823780662590457,0.39860726430516535,0.8592394368567654,141.666015625,0.00021004713527642896,1.0497653790728094,292788.8500930347,7.63460352,23028
20,1.5563518730032169,0.3170981127746507,1.3915401067464583,0.40046668976628313,0.8576742150749371,140.99606323242188,0.0002011709757819917,1.0542100497795017,292897.0744064145,7.63460352,24240
21,1.536717673782075,0.31687270895047226,1.3489973650824638,0.3923728050754099,0.8480893354539564,141.61538314819336,0.00019208807652349442,1.0622143063804892,292400.434302853,7.63460352,25452
22,1.5327537456656446,0.31634954511948093,1.3522319212075202,0.3871566829657458,0.8526503580655205,141.83800601959229,0.00018283549612119676,1.0731444937167782,291562.2303178976,7.63460352,26664
23,1.524157647301655,0.3159975851773935,1.3304947605056148,0.3862479690700372,0.8417106359344626,141.5174858570099,0.00017345098550173462,1.0672204789548818,292169.487692815,7.635285504,27876
24,1.4937513261148245,0.3140171194915928,1.3399051634534713,0.38488592492078944,0.8387316654464669,140.6656949520111,0.00016397283387271341,1.0767126855480396,292688.1488526083,7.635285504,29088
25,1.4917128894588736,0.3267742501971545,1.3220455237934667,0.37843147142392564,0.8321762473387022,140.58922624588013,0.00015443971250109141,1.087292810428654,292837.31747938495,7.63460352,30300
26,1.4845023941088824,0.31406884223787157,1.3240282194268318,0.3821820549824014,0.8337162236079203,140.91387391090393,0.00014489051693274504,1.0720129993685794,293384.3564913667,7.63460352,31512
27,1.4771585675454375,0.31180011509421757,1.3098169007608969,0.3752444520963815,0.8276320550688782,140.90719318389893,0.00013536420829696555,1.1033144366033008,293332.205567796,7.63460352,32724
28,1.4664776730950515,0.32942308712526325,1.3077963061871067,0.37380569616814924,0.8310401992712462,141.0209412574768,0.0001258996543433735,1.0991171317132,292413.7607564403,7.63460352,33936
29,1.462127380048481,0.32812092556552236,1.3097156550615066,0.374025621336009,0.8346923834288456,140.65681767463684,0.00011653547085982575,1.0983105840364304,292763.8614467248,7.63460352,35148
30,1.4589260646415623,0.329127570602239,1.2872308209057777,0.37194132252864437,0.8246951604352326,141.3441298007965,0.00010730986411833758,1.1019606925178282,291650.24092952954,7.63460352,36360
31,1.4469211193004456,0.3323745766961029,1.278375005529773,0.36769974692005736,0.8212281100367743,141.4548375606537,9.826047499184663e-05,1.113678786620842,292443.684610007,7.634277888,37572
32,1.4321157503934583,0.32896264541929626,1.2809067983781137,0.3677500130817265,0.8179125327139768,141.58431005477905,8.942422537783036e-05,1.1189119900905653,291737.46346335666,7.635285504,38784
33,1.4213911919507256,0.3248798191409307,1.2790570350423935,0.36560248701180675,0.8169700335765318,140.92947554588318,8.08371675553732e-05,1.1160119075094512,293012.14637498354,7.63460352,39996
34,1.425246948161141,0.33145388094220857,1.2795827090740204,0.3650570146859699,0.8139574024050559,140.33390974998474,7.2534337090315e-05,1.125795033898684,293014.25420320884,7.635285504,41208
35,1.4166318652751815,0.3230336133524423,1.2660086457767794,0.363248298258829,0.8242828170626004,140.73369598388672,6.454960988863332e-05,1.1200181151380633,293849.3980649804,7.63460352,42420
36,1.4082312691133014,0.3287246889324498,1.2610422156510814,0.3623402205871391,0.8156236062373247,140.32715129852295,5.69155639812873e-05,1.1184980462093164,293335.7265808589,7.63460352,43632
37,1.401590346896609,0.33185560622952565,1.2545460611581802,0.36057029439161276,0.8124090109649676,140.46120858192444,4.966334660444809e-05,1.1444375679732943,293147.0512492572,7.635309568,44844
38,1.4009464065922368,0.32673286203908875,1.2568782202659114,0.3583887471173658,0.811533833194483,141.79817748069763,4.282254711743362e-05,1.1237037969206032,291365.618387368,7.63485952,46056
