epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5574187043222407,0.315458867832181,1.8539921357983449,0.5101624781195521,0.96390321301071,111.00986886024475,0.00029996843639440034,0.9794127614535753,381565.8786762318,6.461947392,1236
2,1.7961694519110867,0.1985390120357286,1.3138652609997108,0.35667514848171983,0.8069218564061881,111.80737376213074,0.0002987736939316783,1.0407245882988747,375741.02962298825,6.46160896,2472
3,1.5014839700896376,0.1826759105468548,1.1103042588859309,0.2999649473322071,0.7293335977786592,111.45374846458435,0.00029586322318782325,1.0956200767778657,375224.2634579738,6.464969728,3708
4,1.358682575638626,0.19542496737637854,0.9813962910996109,0.2613001685632302,0.6654898849662833,111.38505244255066,0.0002912707022673878,1.1397125339527345,376347.03449140565,6.464779264,4944
5,1.2506666130907713,0.18410126890335946,0.8833428777632166,0.23546208573647845,0.6243752479174931,111.24411916732788,0.0002850492728829438,1.152580211945722,376232.0672372775,6.460956672,6180
6,1.1726814937147894,0.19371926377886514,0.8265686709372724,0.21984526995142517,0.5950416501388338,110.5758707523346,0.00027727092543319853,1.1489176973459405,379082.0947646202,6.460896768,7416
7,1.1249556734338162,0.19899839606793593,0.8073709587581822,0.20950350561884437,0.567691392304641,112.91787981987,0.00026802566597618,1.1753405022003889,371122.3102158557,6.461364224,8652
8,1.0691318784427488,0.20027549704841813,0.7295475357868633,0.19416755429967653,0.5361959539865133,111.84077954292297,0.0002574204747367426,1.1690036265788342,373918.17252572655,6.462829056,9888
9,1.0378826501203586,0.20437659078844536,0.7032798206219908,0.18490375941034415,0.5223324077746926,108.34085321426392,0.00024557806819988014,1.182853242677778,388145.7020598886,6.4639872,11124
10,0.9935187752385741,0.20221838633858646,0.6538735530415519,0.17351240241046081,0.49280047600158666,112.23512268066406,0.00023263547911410768,1.1707438216529618,372655.74309495196,6.464974848,12360
