epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.558044491558785,0.3157860541926849,1.865070165180769,0.5164280589207262,0.9689210630702102,119.74305486679077,0.00029996843639440034,0.9772918595417032,351231.34526599635,6.464725504,1236
2,1.7945073593202918,0.19878435561412994,1.3319489701849516,0.3615111873734633,0.8125347084490282,124.84685349464417,0.0002987736939316783,1.0531057292975268,336587.73642564495,6.46829056,2472
3,1.501939397606649,0.1825453555774886,1.1017081512779485,0.3013730833070496,0.7336374454581516,124.88929891586304,0.00029586322318782325,1.0994102221862398,331932.8118838923,6.470915072,3708
4,1.3600734718698515,0.19722623182802457,0.990365601953913,0.2651572411260089,0.6691987306624355,125.50503182411194,0.0002912707022673878,1.1337933084146876,332510.8347422246,6.470463488,4944
5,1.2505195806327376,0.18445319155380915,0.874577461696062,0.23655030393771137,0.6233637445458151,124.02101111412048,0.0002850492728829438,1.1430463241624216,336016.26487838326,6.466453504,6180
6,1.171409302062587,0.19485704065065215,0.8276992840845077,0.2202138279834805,0.5890717969059897,124.41725540161133,0.00027727092543319853,1.1502358841085898,335234.22012765176,6.4663936,7416
7,1.122906273285162,0.19963868563525533,0.784040026977414,0.21015018774569452,0.5648155493851647,125.93742251396179,0.00026802566597618,1.16541415930373,332294.57286766864,6.466589696,8652
8,1.0692695297758943,0.20066360783687162,0.7291317103339023,0.1942992888114348,0.5377627925426418,124.63956594467163,0.0002574204747367426,1.1713677879097393,334541.5890251708,6.468054528,9888
9,1.037530464213643,0.2055881563299858,0.6977722244184525,0.18711055202712054,0.5226100753669178,125.19459676742554,0.00024557806819988014,1.1714928200329777,333026.89614175295,6.468443136,11124
10,0.9943882926189398,0.2023307003944219,0.6728370922510741,0.1765765532037439,0.4985323284410948,125.33501195907593,0.00023263547911410768,1.1761841552157233,332159.70951103437,6.470920192,12360
11,0.9627369911828859,0.20075312127409628,0.6648736644963749,0.1688351199135647,0.482011106703689,117.87983274459839,0.00021874247083620657,1.1790136238228541,356126.6512870492,6.466724352,13596
12,0.9435581073020268,0.19740567140313556,0.6342017508921076,0.16498332971169022,0.4699523998413328,115.12674140930176,0.00020405980436551748,1.181329914667074,364515.8950981895,6.46642432,14832
13,0.9111688987240436,0.18709911746052296,0.6190496375326251,0.15754931023129473,0.45819119397064656,115.42294597625732,0.00018875737812055438,1.188853406742167,363677.8538538009,6.465416192,16068
14,0.8990672514276598,0.20200827669762542,0.6044007227069041,0.1536026649098504,0.44436731455771517,114.85725617408752,0.00017301226198325145,1.198586572914062,364318.8322914795,6.466760704,17304
15,0.8762292247084738,0.194137820814509,0.5843505991286919,0.15091254131862375,0.43936929789765966,115.31732201576233,0.00015700664835962614,1.207569692512932,364165.7820777224,6.46454784,18540
16,0.8607941293745365,0.2060653333857902,0.57137332099383,0.14568710694503367,0.42695358984529946,112.73630595207214,0.00014092574396587173,1.225045202185421,372780.4176695575,6.465429504,19776
17,0.8412828802773096,0.20567708332268209,0.570935134027825,0.14271928820337138,0.417929393097977,111.80086541175842,0.00012495562673478242,1.2318637436165394,378457.0136682502,6.468082176,21012
18,0.8210766796492835,0.207690239047031,0.5541980481538616,0.13942688610627116,0.4097976993256644,115.16798162460327,0.00010928109264101724,1.236441696635342,364685.09840231255,6.468114944,22248
19,0.8127572897664938,0.19508334577792655,0.547038914727383,0.1371904281109859,0.4051368504561682,114.51890516281128,9.408351736036278e-05,1.2586542451844631,366946.33716010134,6.464343552,23484
20,0.8058669658733417,0.20825359666624532,0.5482549325364535,0.13548896084305867,0.3979968266560889,113.99765610694885,7.95387575065061e-05,1.2705310513190082,368347.506140077,6.466823168,24720
21,0.7866364983196783,0.1924419228538458,0.5252107416020065,0.13424125596903885,0.39535898452994844,111.82676005363464,6.581511573086043e-05,1.2658757729437744,375893.74758563604,6.466443776,25956
22,0.7791664896707704,0.20162597871023658,0.5343415170419411,0.13143266456825847,0.39107497024990084,115.18623352050781,5.3071393232008324e-05,1.2958077728555426,363936.88724467985,6.467874816,27192
23,0.7618871448157675,0.18941281613401942,0.5115753993636272,0.13121842809419537,0.38806029353431176,111.95473384857178,4.1455052209875e-05,1.2830523659978483,374837.98289591924,6.468443136,28428
24,0.7534736855178589,0.19126738531103046,0.51655285475684,0.12991834237145716,0.38524395081316937,112.97701406478882,3.110050952753626e-05,1.2980088805689396,371876.00479518564,6.471780864,29664
25,0.7463329093693529,0.19357463928512936,0.5124112089149288,0.12826002889472074,0.3825267750892503,114.07605838775635,2.2127581325314766e-05,1.3095736283700443,367047.0611256721,6.466448384,30900
26,0.7482738883557057,0.19592187250087895,0.5097194914935065,0.12775246840646273,0.3795914319714399,114.32198548316956,1.4640096585094796e-05,1.3180605182755727,366452.6061682305,6.465424384,32136
27,0.742221036075967,0.19425050749419384,0.5049074297068549,0.1267155534245661,0.3777865926219754,111.82122468948364,8.724695687800881e-06,1.3126415906407687,375066.6025798452,6.470463488,33372
28,0.7398888467536775,0.19860298813980518,0.5077797101169336,0.12642710671788185,0.3769535898452995,112.55976676940918,4.449827866365841e-06,1.3285264186199428,373522.54349009047,6.470914048,34608
29,0.7355809351821162,0.19513062461820088,0.5078857868421273,0.12647906704280013,0.3763784212614042,113.56859946250916,1.8649591550190586e-06,1.3198367757029519,370515.68365760334,6.466423296,35844
30,0.7367642153910449,0.20295726302349656,0.5066256376563526,0.12611111308756376,0.37578341927806425,114.52722358703613,1e-06,1.317664297267457,366328.47579852643,6.468732416,37080
