epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.552596724341988,0.3134817220488385,1.8379429051133453,0.5064429299882647,0.9784410948036494,118.95613861083984,0.00029996843639440034,0.9495181415386763,352768.86183281086,6.512470016,1236
2,1.7835160375220105,0.2001283107727323,1.2956047019020456,0.34651152970800564,0.8013883379611265,116.00672841072083,0.0002987736939316783,1.0264684267607322,361549.4977639228,6.511834112,2472
3,1.483749843531056,0.183209338850341,1.0736880566253038,0.2928619907029188,0.7305037683458945,115.10574388504028,0.00029586322318782325,1.062790240959828,363850.63699741225,6.515016704,3708
4,1.3368073896682764,0.1979993350868178,0.9519651356290598,0.2512405411245394,0.6437524791749306,114.31796288490295,0.0002912707022673878,1.0866235693295796,367530.818134592,6.512481792,4944
5,1.2199882319540654,0.18466205701696378,0.8477315746369909,0.229033464016511,0.6091630305434351,116.86082434654236,0.0002850492728829438,1.1014862430423595,358310.19134801975,6.512883712,6180
6,1.1358504243749632,0.19422611065976522,0.785309690921033,0.21040026391356406,0.570765569218564,115.87411522865295,0.00027727092543319853,1.095666903218791,361038.7361750213,6.512823808,7416
7,1.0839754529659031,0.19808811078842756,0.7344414679730524,0.19737194070666714,0.5417691392304641,117.65492248535156,0.00026802566597618,1.1145222882911996,355402.60599249083,6.51625216,8652
8,1.0257347311016811,0.19914426019959014,0.6867985041415106,0.18614619170915733,0.514974216580722,113.64933633804321,0.0002574204747367426,1.1200582481028578,369041.2397421724,6.515024896,9888
9,0.9891245733090589,0.20319045539607664,0.6476515321457972,0.18023555088188015,0.5013883379611266,117.54902601242065,0.00024557806819988014,1.1239970090126914,356396.44596235326,6.51182848,11124
10,0.9433675198589714,0.20129570613105266,0.6190149505607417,0.1658894882834333,0.46941689805632686,115.23834252357483,0.00023263547911410768,1.1227589246235232,363557.15880155785,6.511026688,12360
11,0.9097140717371383,0.19845265072707252,0.6139109203072844,0.15921038399167164,0.45579135263784215,114.94343733787537,0.00021874247083620657,1.129319545279429,363192.9886632464,6.511303168,13596
12,0.8901198282114511,0.19428903306032874,0.5709879320175921,0.1526119729876184,0.43944863149543834,115.8193428516388,0.00020405980436551748,1.1360451972118089,362260.5707814197,6.512854528,14832
13,0.8558968356946139,0.18418125259976706,0.5601112446824058,0.14822596381525294,0.42820309401031337,119.66125321388245,0.00018875737812055438,1.1387692569336074,352912.6902707836,6.511581184,16068
14,0.8419756831233556,0.19862061812279314,0.5332740804211038,0.1435389444111469,0.4173740579135264,116.40058660507202,0.00017301226198325145,1.1472569084379665,359899.3833359723,6.512308224,17304
15,0.8188004007858366,0.18983358356641025,0.5240909994625654,0.14124716738356946,0.4077350257834193,113.33026933670044,0.00015700664835962614,1.1576094027958255,368843.8428321577,6.512613888,18540
16,0.8011857990452773,0.2014152206520727,0.5021760732424064,0.1380398147627243,0.40384767949226497,115.75306797027588,0.00014092574396587173,1.1739890989651571,360560.93278292153,6.514487296,19776
17,0.7830209952920771,0.20302725381535627,0.5051524863868463,0.1311241858729721,0.3870289567631892,117.72976636886597,0.00012495562673478242,1.1728529403510604,356157.57634298416,6.511025152,21012
18,0.7612305242556199,0.20333831764880936,0.48797866408942175,0.13005175660260088,0.38199127330424437,112.88175082206726,0.00010928109264101724,1.1757145727529494,370660.5438249994,6.511443456,22248
19,0.7529405881816515,0.190801407333935,0.481435555903638,0.12816534014750902,0.3759222530741769,116.22142481803894,9.408351736036278e-05,1.1956478734907594,359330.21586939594,6.513736192,23484
20,0.7454167094479487,0.20372057737802343,0.4715120767960783,0.12559693854647172,0.3724315747719159,116.84608030319214,7.95387575065061e-05,1.202443884559048,355588.0250992821,6.511512576,24720
21,0.7263590950989028,0.1872681452051381,0.4702431496049537,0.12126005578750548,0.3612058706862356,120.53655648231506,6.581511573086043e-05,1.211915325096124,350314.2325760245,6.513752576,25956
22,0.7186856912418862,0.19620999306351053,0.4673963770514629,0.12044327970119001,0.35710035700119,118.34916734695435,5.3071393232008324e-05,1.2280815715832232,358382.97646467487,6.511254528,27192
23,0.7004631315041514,0.18479790590311215,0.45112085635544824,0.11895031659193395,0.3546608488694962,116.88020753860474,4.1455052209875e-05,1.224049973738618,362838.19254083384,6.51182848,28428
24,0.6924216420567537,0.1855035791603429,0.44842657056011137,0.11923132111560748,0.35251884172947245,118.68416905403137,3.110050952753626e-05,1.227049706726784,356067.38471734704,6.514725888,29664
25,0.6848893587305708,0.18799227428699244,0.44683530828991874,0.11671649718186683,0.3477984926616422,118.60464286804199,2.2127581325314766e-05,1.237057964199955,355104.7949209381,6.515014144,30900
26,0.6864299194037335,0.18957946359722075,0.44328927358642956,0.11696592388698548,0.3492066640222134,119.35647130012512,1.4640096585094796e-05,1.250162778548824,354402.3164688387,6.514999808,32136
27,0.6816618492929295,0.1886816524187877,0.4447083541604339,0.11558251199906795,0.3466679888932963,119.67033624649048,8.724695687800881e-06,1.2397515914104518,354737.11499168887,6.512481792,33372
28,0.6798819527994467,0.1933299753844803,0.44515547498327784,0.11500664731250074,0.3445854819516065,121.00604629516602,4.449827866365841e-06,1.2483475145109264,349173.5816450999,6.5137536,34608
29,0.6747357975751836,0.19031916748879388,0.4424004466807256,0.11525894318654187,0.34607298690995636,120.94141840934753,1.8649591550190586e-06,1.244446609350084,349395.00553796993,6.512853504,35844
30,0.6761169143768576,0.19828547133411809,0.44377640378279765,0.11501658641781437,0.3453788179293931,122.05449223518372,1e-06,1.2481992770360126,347226.6877267282,6.511053824,37080
