epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.6377647042660266,0.20384745864119583,2.2058532433431655,0.6001366374398918,0.9908568028560095,193.94119334220886,0.00029996843639440034,1.715384268644944,211421.4404706548,7.755079168,1236
2,2.1334649537566412,0.17038954616458765,1.699554955373045,0.45223488710815724,0.9325862752875843,192.1966290473938,0.0002987736939316783,1.1030034737293775,218887.79044274558,7.75399424,2472
3,1.7876768683152677,0.16365047153289283,1.395319149142406,0.38234185205839627,0.8759817532725109,195.93468022346497,0.00029586322318782325,0.9855311382260523,212814.5189226445,7.75399424,3708
4,1.5934965622077868,0.1763658548457324,1.2231523033048286,0.33872160351900943,0.8058310194367314,198.3343334197998,0.0002912707022673878,0.952452984683722,211182.25012472927,7.75399424,4944
5,1.453919010062048,0.1672171042681119,1.1172540383260758,0.30979231458235523,0.7702102340341135,195.5991187095642,0.0002850492728829438,0.937404411076342,213195.5592835128,7.75399424,6180
6,1.3544711923907875,0.17726339767043675,1.022651078271084,0.28497711243333484,0.7268345894486314,182.82217407226562,0.00027727092543319853,0.9336544792725431,231191.5981735866,7.758837248,7416
7,1.2902781379357897,0.18135529025921762,0.9602119453617783,0.2700639396243116,0.6964696548988497,195.6432445049286,0.00026802566597618,0.9490906433187256,214866.99199429966,7.756215808,8652
8,1.2260172207475095,0.1826526388740588,0.9046689555293224,0.25727483047626143,0.6756247520825069,193.63919138908386,0.0002574204747367426,0.9517551841377054,214839.67173155214,7.756406272,9888
9,1.1848836474144728,0.18784691643452756,0.8733018079742056,0.2470081277157721,0.6600753669178897,197.24051213264465,0.00024557806819988014,0.9632780447746944,212903.78132464277,7.75505664,11124
10,1.1353578963422466,0.18664142050121074,0.8215487159666468,0.2338903091128864,0.6284410948036493,196.22395277023315,0.00023263547911410768,0.9677308692226132,214879.28208757052,7.75554816,12360
