epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5765942393961847,0.31429651491339994,1.8835832349589614,0.5190189684003325,0.964676715589052,183.29263854026794,0.00029996843639440034,0.995839550850075,224942.60301399083,7.06826752,1236
2,1.8103874878397266,0.19734207567094675,1.3437307115461006,0.36172987143699914,0.8091630305434352,184.5797312259674,0.0002987736939316783,1.0201563379911158,228022.88090222332,7.068318208,2472
3,1.5121841397871862,0.18180634894679767,1.1135488074333941,0.29852042871794365,0.7283815946053154,182.90070509910583,0.00029586322318782325,1.0538298516597562,227949.5308847045,7.068280832,3708
4,1.3654972717021276,0.1967916063203133,0.9900659264111128,0.26621263735332246,0.6688417294724316,185.94820046424866,0.0002912707022673878,1.1016477251901595,229187.28673363442,7.068258816,4944
5,1.2509141472743939,0.18400962398304635,0.8783604922841807,0.24125891887211082,0.6352439508131694,191.2781822681427,0.0002850492728829438,1.1093928133978428,221665.85828242992,7.068276736,6180
6,1.168307191876146,0.19447705242925553,0.8128013073420916,0.2217010475837186,0.5914121380404601,191.91336631774902,0.00027727092543319853,1.1134191310714363,221050.36748578292,7.068283392,7416
7,1.1181436209520477,0.19946581351236764,0.7746522836997861,0.20742870048661846,0.5626140420468069,193.45898294448853,0.00026802566597618,1.1265453010025919,218990.22091507333,7.068251648,8652
8,1.0618589643907392,0.2006921709116779,0.7182033003353682,0.19366690727276772,0.535323284410948,190.92650938034058,0.0002574204747367426,1.143087121419922,222737.35711716284,7.068289024,9888
9,1.0288431758730157,0.20513521047658287,0.7000634171923653,0.18345061587524109,0.5124553748512495,185.90057110786438,0.00024557806819988014,1.1368987588724273,223348.23641870814,7.068291072,11124
10,0.9848606339550326,0.20186738387006117,0.659350013146635,0.1785375890483549,0.49918683062276875,190.3534562587738,0.00023263547911410768,1.162890505154156,224312.24760283707,7.068285952,12360
11,0.9538932748886374,0.20190817247774767,0.6507619765938305,0.1683548103872926,0.48205077350257836,191.1124095916748,0.00021874247083620657,1.1581537668083863,223403.11454826323,7.068261376,13596
12,0.9353582597666188,0.19678551778992256,0.6200531340036236,0.16282837002255962,0.4640618802062674,177.62684106826782,0.00020405980436551748,1.1676844468876768,247032.9534668841,7.06828032,14832
13,0.9024987633560082,0.18736971838044272,0.5950008870148268,0.1576519791587678,0.4514676715589052,186.94217228889465,0.00018875737812055438,1.1699047689974116,226522.65273129457,7.068255744,16068
14,0.8891103552672469,0.20172066716171275,0.5852898564495024,0.15279471597600777,0.43960729869099563,187.53335762023926,0.00017301226198325145,1.1806196963420579,226369.95136366086,7.068263936,17304
