epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5743923280810077,0.31714642372933133,1.8489714548236034,0.5114112210863191,0.9752479174930583,199.70634031295776,0.00029996843639440034,1.0121370411227821,207447.09497829105,11.549668352,1236
2,1.8110673245295739,0.19720040031536157,1.3476724702803815,0.3620311892361982,0.8147163823879413,202.07407999038696,0.0002987736939316783,1.069417512243234,204701.50007700408,11.54971904,2472
3,1.5103735073098858,0.18356878179991634,1.1014511223699226,0.2988289501181101,0.7294922649742166,202.9066390991211,0.00029586322318782325,1.111079166525776,204698.4279764495,11.549681664,3708
4,1.362641727509622,0.19742923511658203,0.9826780704201244,0.26246704958971795,0.6652717175723919,201.79731273651123,0.0002912707022673878,1.1598578395388273,206423.39370362074,11.549659648,4944
5,1.24699205917255,0.18438124078134385,0.8612441078561252,0.23857449431732208,0.6244545815152717,203.76868200302124,0.0002850492728829438,1.1513985950487717,205497.776277778,11.549677568,6180
6,1.167238595705588,0.19565270181528982,0.8290628204580213,0.2217002819854459,0.5887147957159857,202.0730164051056,0.00027727092543319853,1.1737993739569457,206213.5709377393,11.549684224,7416
7,1.1167591796241532,0.2004639777392461,0.7721109351173776,0.20643829875855974,0.5562871876239588,200.9465799331665,0.00026802566597618,1.178567481224205,206903.30369264373,11.54965248,8652
8,1.0630001741126902,0.20297875634459617,0.7169456999810015,0.19295718182690363,0.5323681078936929,204.39970517158508,0.0002574204747367426,1.1826285623906114,206358.93947194857,11.549689856,9888
9,1.0282312226044708,0.20584835622967596,0.6848548103551395,0.18199740734881323,0.5101943673145577,200.66205501556396,0.00024557806819988014,1.1772296504391822,209239.77617399968,11.549691904,11124
10,0.9842398993695052,0.20286068536928661,0.6584200145768337,0.1740360323984412,0.4903808012693376,197.71724104881287,0.00023263547911410768,1.1823634268492942,212009.85101244278,11.549686784,12360
11,0.9545792726058404,0.20163946206128613,0.6547366405119661,0.16560359288824872,0.4801071003570012,196.73210072517395,0.00021874247083620657,1.1986512671493017,213134.62825969706,11.549662208,13596
12,0.9359551165674882,0.19757635875379373,0.6186544958685265,0.1620508904721611,0.46295120983736615,201.1505835056305,0.00020405980436551748,1.1976679381718527,209641.3473140807,11.549681152,14832
13,0.9030466156870031,0.18813582105783944,0.6121873674822635,0.15655255144340127,0.4522610075366918,200.82639741897583,0.00018875737812055438,1.2120915369694287,209717.52007035742,11.549656576,16068
14,0.8906239294311376,0.20263420875136245,0.588614177996995,0.15259641320944747,0.4402618008726696,205.0828502178192,0.00017301226198325145,1.2103230639279468,205420.06748149055,11.549664768,17304
15,0.8668956809638002,0.19391433120095186,0.5637672846434546,0.14741335619313503,0.4329631098770329,197.85564279556274,0.00015700664835962614,1.2219309227173383,211733.42750776038,11.54966272,18540
16,0.8505370109839346,0.2064518907035999,0.5614497739760602,0.14468823959942254,0.42348274494248317,203.70315170288086,0.00014092574396587173,1.248279018261286,205872.12793458163,11.549669888,19776
17,0.8325317075482078,0.20643177457787043,0.5529991104954579,0.14028920371565604,0.4138040460134867,202.9434096813202,0.00012495562673478242,1.2507609781420346,207593.9242821248,11.549687808,21012
18,0.813267371487656,0.20781046484458005,0.5416193853636257,0.1389368086535251,0.4096588655295518,202.51766920089722,0.00010928109264101724,1.2702428393765175,207296.40706532766,11.549662208,22248
19,0.8045499225939747,0.19588570016552787,0.5288520978122461,0.13566879866442974,0.3992463308211027,201.2292275428772,9.408351736036278e-05,1.277727295955022,209232.00799440427,11.549663232,23484
20,0.7972965925256797,0.209275250585892,0.5338384684969167,0.1325679895779278,0.3934153113843713,199.09432339668274,7.95387575065061e-05,1.2968861492513453,209864.08349942503,11.549677568,24720
21,0.7778979457649599,0.19291272701655393,0.5244189559436235,0.13176651010447138,0.38883379611265373,201.17737770080566,6.581511573086043e-05,1.2990084593350062,208991.44840838463,11.549679616,25956
22,0.7703866992857078,0.20174961336537325,0.5212609323321796,0.12931253843347432,0.3833002776675922,201.12463545799255,5.3071393232008324e-05,1.319679543375969,210030.71446106816,11.549656576,27192
23,0.7536807713192257,0.19009322833728592,0.5035633498527965,0.12712091809929374,0.37737009123363746,199.39223623275757,4.1455052209875e-05,1.3328697857443954,211850.16600034415,11.549691904,28428
