epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.583074473254503,0.3037557206080627,1.8788026180423674,0.5170126726293893,0.9773899246330822,78.06570529937744,0.00029996843639440034,0.9482165431199915,606724.0378785145,3.631417856,1236
2,1.8063517224441454,0.20168266516037056,1.3209432793445275,0.3505791510189695,0.7952598175327251,79.881019115448,0.0002987736939316783,0.9941029037954738,602146.2330083282,3.630762496,2472
3,1.4855249856860893,0.18337667500693317,1.0873958732261033,0.2902153755930788,0.7150535501785006,79.01008677482605,0.00029586322318782325,1.0508825021364927,602269.1423193145,3.630886912,3708
4,1.323675046991376,0.19775808560118197,0.9478436464168987,0.2521100218015595,0.6410551368504561,78.30403065681458,0.0002912707022673878,1.0913529544104263,608747.1706611122,3.630739456,4944
5,1.2001859994189252,0.18255180000679808,0.8346140189249007,0.2220382141804558,0.5894486314954384,78.39340806007385,0.0002850492728829438,1.0988590615563407,598287.6802548321,3.630739456,6180
6,1.1114027934166992,0.19179628156883358,0.7715195954823103,0.20337275791317433,0.5461126537088457,79.77158117294312,0.00027727092543319853,1.1084784076919834,595007.199271608,3.630751232,7416
7,1.0553895686918864,0.19584991114598357,0.7245029836404518,0.18761223094210405,0.5134668782229274,79.95834708213806,0.00026802566597618,1.1240068098295082,592260.9939636078,3.630747136,8652
8,0.9939254439860872,0.1968767832445477,0.6711994829725046,0.17607359921604152,0.4870091233637445,79.54767656326294,0.0002574204747367426,1.1319889803823915,600335.7539829676,3.630766592,9888
9,0.9550445190236021,0.2009851191704125,0.6337906288318946,0.16482653481547951,0.4687028956763189,79.47585439682007,0.00024557806819988014,1.1328416957631466,596102.6833630399,3.630756352,11124
10,0.9065364210302775,0.19872698830946403,0.5870570999677064,0.1548963335457657,0.43978579928599765,78.706387758255,0.00023263547911410768,1.132557766047882,605158.5070858235,3.63075328,12360
11,0.8723260822274924,0.19483176085645446,0.5761405806072423,0.15002480146122746,0.4307219357397858,77.80977606773376,0.00021874247083620657,1.1468106325968956,614468.9285939304,3.630764544,13596
12,0.8499230670601033,0.189606031053661,0.5465689267291397,0.14266451516508877,0.40836969456564853,78.64999723434448,0.00020405980436551748,1.154099463596699,603136.4992447738,3.630735872,14832
13,0.8133194334925571,0.17936280136383984,0.5263109905797927,0.1379953760817562,0.3989884966283221,77.41168880462646,0.00018875737812055438,1.1557876516410834,607392.2648551435,3.630752256,16068
14,0.798344102588672,0.19466241628033967,0.5118743689333807,0.13176593640024187,0.3808409361364538,80.06442880630493,0.00017301226198325145,1.1625626633082393,603793.9784466559,3.63076352,17304
15,0.7740420330689562,0.18396268207067604,0.48883475631964013,0.12912297158429029,0.37427608092026976,79.90533900260925,0.00015700664835962614,1.1769798957896465,601905.2390384511,3.630757888,18540
16,0.75598914735622,0.19865979469550765,0.4792003069744735,0.12391323597869437,0.3629115430384768,77.96454191207886,0.00014092574396587173,1.1936604298627107,602195.0773271349,3.6307328,19776
17,0.7358220969251444,0.1986590658775837,0.46385846763360694,0.122795805953722,0.3577746925823086,79.55819272994995,0.00012495562673478242,1.1890243761072652,603944.9504376472,3.630754304,21012
18,0.7146970143837065,0.19885567297518975,0.457348283197059,0.11770058477527254,0.3425029750099167,80.08834886550903,0.00010928109264101724,1.2054103037107338,601863.8050425341,3.630746112,22248
19,0.7045616397338778,0.1849879414374672,0.44037623239345236,0.11556803810710398,0.3383379611265371,78.87942695617676,9.408351736036278e-05,1.2130485452398128,602758.2875312966,3.630742528,23484
20,0.6964605035664194,0.19884900063591882,0.4354107643737168,0.11358304425568759,0.33443078143593813,78.90657663345337,7.95387575065061e-05,1.2324326965704704,602501.4087286943,3.63076352,24720
21,0.676359698706846,0.1816086762635811,0.42459682118697245,0.11161156002059362,0.3300476001586672,79.36873745918274,6.581511573086043e-05,1.2329090781582213,605271.0827068022,3.63074816,25956
22,0.6682110535625887,0.19031784116922573,0.42508414485415474,0.1097024998150105,0.3222530741769139,79.47918677330017,5.3071393232008324e-05,1.2525797332471242,601002.1555583588,3.630752768,27192
23,0.6510476030433447,0.17723072657508687,0.41341080919640966,0.10810406092239218,0.3183855612852043,79.46974873542786,4.1455052209875e-05,1.2431991865623344,603033.107146199,3.630742528,28428
24,0.6417497595151266,0.180586236263473,0.41075442902377396,0.10660412282269596,0.31469654898849664,78.33628296852112,3.110050952753626e-05,1.2585029315119036,611723.9992197587,3.630742528,29664
25,0.63547602011355,0.18260876670412646,0.4058679635407495,0.10527335134939908,0.3133280444268148,77.9668915271759,2.2127581325314766e-05,1.2548332565907137,608503.2050657902,3.63074816,30900
26,0.6353022893318081,0.18344847444716791,0.40421464404121776,0.10502020077590193,0.31160253867512894,78.992258310318,1.4640096585094796e-05,1.271145128316478,605806.0321831979,3.630756352,32136
27,0.6305322651917109,0.18439664284439605,0.40230375968041965,0.10469657981543722,0.3111067036890123,80.41230654716492,8.724695687800881e-06,1.2616602241703607,598305.8005411332,3.63076864,33372
28,0.6289961424846093,0.18726403970997316,0.4017289026838834,0.10424915671289244,0.30993653312177705,78.93682622909546,4.449827866365841e-06,1.2761283167261137,602642.6209664663,3.630739456,34608
29,0.6230740567193063,0.18496833157256076,0.40110502917258467,0.10404293855898505,0.3089845299484332,80.48646545410156,1.8649591550190586e-06,1.2626300160938868,598647.5414222622,3.630734848,35844
30,0.6237746902461191,0.19236608628039256,0.40110243197347295,0.10409949900317002,0.3092026973423245,79.53568768501282,1e-06,1.2678714301979657,604298.6871075395,3.630762496,37080
