epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.349672680148029,0.4077798201199584,1.541298481284595,0.4184914746424003,0.8939309797699325,100.38202977180481,0.000299681709174448,1.201286365323275,455637.2796031269,2.478404096,1236
2,1.523179405811921,0.20837992981652698,1.0825624563654914,0.29510893320150877,0.7239984133280444,109.97576856613159,0.00028778301015354506,0.979993476161679,438746.3141504457,2.479656448,2472
3,1.252214410930004,0.1897704222917742,0.9040853957660863,0.24986790492581396,0.6502578341927806,99.30749225616455,0.00026000015218327995,1.0001174937270605,468320.7263866644,2.477981696,3708
4,1.1179961623400931,0.20405273896725928,0.789320565637995,0.21967550296583818,0.5945458151527172,97.50977039337158,0.00021954771608886654,1.0305759220543802,467053.0664551565,2.479340544,4944
5,1.011583306305231,0.18689077763777812,0.705826172086059,0.196841790253287,0.5460531535105116,100.70934915542603,0.00017110620038278594,1.0475092412584421,462779.22920655395,2.47845632,6180
6,0.9372219070068841,0.19512322001588497,0.6587775896807186,0.18387450111397488,0.5153708845696152,99.97604322433472,0.0001202804700396829,1.0751491210703712,463350.6009800722,2.47845632,7416
7,0.8938022715470552,0.19641757760168438,0.6245448413442393,0.172607895351539,0.4910154700515668,98.66712832450867,7.295125260613668e-05,1.1094768400331145,463368.11540772655,2.477778432,8652
8,0.8482218772462271,0.19585302493607618,0.5975534696070874,0.16847848436137303,0.4827449424831416,99.73877453804016,3.459471597664887e-05,1.1267698290953745,467477.28653243755,2.480008192,9888
9,0.8325358031251284,0.19922747237428512,0.587843968731458,0.16424093688784255,0.4727687425624752,99.21912503242493,9.648855238072354e-06,1.1386171187301284,462526.0748012338,2.478371328,11124
10,0.8128763314059251,0.19601946865916114,0.5864948439793508,0.1639507304600607,0.47130107100357,104.53921699523926,1e-06,1.1365430346873973,458495.508712509,2.479068672,12360
