epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5669545879448887,0.32812278647654275,1.8409314565971249,0.512817796904218,0.9870686235620786,360.8096480369568,0.00029996843639440034,1.0111041948392168,109064.26035496211,24.87703808,1236
2,1.7870408754711398,0.2000452433697452,1.3002767914631328,0.35400843198964266,0.8079730265767553,358.8366961479187,0.0002987736939316783,1.0316822635895997,109863.37820432545,24.880863744,2472
3,1.4891715054566035,0.18359409756123948,1.077525863881971,0.29664600767107074,0.7336374454581516,359.52072763442993,0.00029586322318782325,1.089800540924458,109950.54868534651,24.88087808,3708
4,1.3447713693272334,0.1978077869717392,0.9528421212415226,0.25787510140966613,0.6550376834589449,362.35838437080383,0.0002912707022673878,1.1384360104027689,109202.19367565002,24.880848896,4944
5,1.2357346948392955,0.18426874488880407,0.8561227380252275,0.23315746434048557,0.6174930583101944,355.3623876571655,0.0002850492728829438,1.1433689067182418,110651.20058521023,24.880849408,6180
6,1.1571862530746893,0.19500264721189903,0.7980307057255605,0.21780750746415106,0.5838556128520428,359.89304423332214,0.00027727092543319853,1.1566384935745528,109684.28129661009,24.880849408,7416
7,1.1101627006982138,0.20135538235223024,0.7621027700236587,0.20489927125142465,0.5506346687822292,361.52104330062866,0.00026802566597618,1.177382030629803,109537.43139222209,24.880856064,8652
8,1.0559159430967566,0.20194877020544433,0.7195787547064609,0.1898832713312148,0.5278460928203094,363.77623867988586,0.0002574204747367426,1.1739844262696393,108923.1636001998,24.880848384,9888
9,1.0236376473336544,0.2055596280577035,0.6816271406705262,0.18319545500394763,0.5112653708845696,360.8268504142761,0.00024557806819988014,1.1762499902337114,109201.82970790828,24.880873984,11124
10,0.979765916671182,0.20294781475514076,0.6598266128633843,0.17161170170109566,0.4848472828242761,361.0858631134033,0.00023263547911410768,1.1772392904295506,109257.82294364783,24.880867328,12360
11,0.9493014964856762,0.20213420705024257,0.639734041983964,0.166178264416085,0.4764379214597382,367.5346746444702,0.00021874247083620657,1.1951518875206173,107806.89599826226,24.880838144,13596
12,0.9303732241434572,0.1981660049934817,0.6208313405513763,0.1628481996725403,0.46255454184847283,360.3635609149933,0.00020405980436551748,1.2027365851749494,109696.35157647816,24.880838144,14832
13,0.8971077341188505,0.18793842701278082,0.6086042875149211,0.15466052990162496,0.4452399841332804,361.0726101398468,0.00018875737812055438,1.2078119156140725,109555.23504511084,24.880854016,16068
14,0.8849873477683484,0.20344801404531987,0.5909896888693825,0.15147527161467017,0.43605712019040066,361.9151599407196,0.00017301226198325145,1.2161521277960063,109416.33698019834,24.8808704,17304
