epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5763671995173767,0.30931185957828045,1.8795073286431734,0.5214681517576828,1.0012495041650138,190.5220911502838,0.00029996843639440034,1.0139204967031588,215722.15615252615,11.961833472,1236
2,1.7732980892689096,0.21339670190197788,1.2528115901790682,0.3386047545811162,0.7792542641808806,193.02223443984985,0.0002987736939316783,1.0422973324180036,212810.58559273434,11.96188416,2472
3,1.4309048655060117,0.18840705464417531,1.0167219687680729,0.27785030152767287,0.6877231257437525,190.3766074180603,0.00029586322318782325,1.0702566856512359,210186.98398631663,11.961846784,3708
4,1.2632259406318171,0.20143108576461716,0.8851324192813186,0.23667617290300774,0.6112852042840142,191.1567838191986,0.0002912707022673878,1.0974860501424395,209860.64067536956,11.961824768,4944
5,1.1405203032840803,0.18660546351664947,0.7644110321998596,0.20900228804420581,0.5626140420468069,195.69257950782776,0.0002850492728829438,1.110523917480194,208342.20942905292,11.961842688,6180
6,1.0514759353352983,0.19583880599447925,0.7113176203164898,0.1928349929387814,0.527865926219754,193.12474370002747,0.00027727092543319853,1.1004589841396677,210984.03711281103,11.961849344,7416
7,0.9966290601345328,0.1983172241417561,0.650256940087334,0.1775727325245432,0.4895676318921063,199.15254664421082,0.00026802566597618,1.1156872050372528,208641.64887102996,11.9618176,8652
8,0.937526268770008,0.20059191282178118,0.6071558462791755,0.1648882860679103,0.4648948829829433,193.97078728675842,0.0002574204747367426,1.112285200735512,213897.96511967882,11.961854976,9888
9,0.9007520637080122,0.20327762223563026,0.5770495910136426,0.1563146563369816,0.4451606505355018,195.71673679351807,0.00024557806819988014,1.1128827554315426,209198.33077200464,11.961857024,11124
10,0.8549676987683117,0.19955792724825902,0.5500486351427485,0.1470925068362543,0.42274890916303054,194.70510053634644,0.00023263547911410768,1.1067592224835578,211362.78055391737,11.961851904,12360
11,0.8208348115960371,0.19672018262890112,0.5153625094499744,0.14171459375227544,0.40531535105117017,194.2277626991272,0.00021874247083620657,1.108479212017121,212667.47522327764,11.961827328,13596
12,0.8005082467661321,0.19242373166979404,0.503682228385425,0.13381069336435486,0.3900634668782229,195.60345816612244,0.00020405980436551748,1.1185072501307551,211012.90080104658,11.961846272,14832
13,0.7653064252537431,0.18055197128864367,0.4814038936231957,0.1317736931999371,0.3796509321697739,194.85186195373535,0.00018875737812055438,1.1120437580887168,210720.29094587106,11.961821696,16068
14,0.7539372794981142,0.19627904697195728,0.46676299562219714,0.12548125622819262,0.36761205870686237,187.91328382492065,0.00017301226198325145,1.1243044014501726,218708.84209989468,11.961829888,17304
15,0.7293875607809588,0.18619682234139837,0.4539727246175047,0.1223657195101508,0.3567036890122967,189.99990892410278,0.00015700664835962614,1.125100368965405,217324.65661822082,11.96182784,18540
16,0.71200292381461,0.19908506494149317,0.4359269449945356,0.1169659895683639,0.3456168187227291,192.3301808834076,0.00014092574396587173,1.1337502252997704,213966.34565279956,11.961835008,19776
17,0.6942957323828176,0.19833116382209562,0.42740888869176147,0.11385390756485056,0.3339349464498215,188.17181658744812,0.00012495562673478242,1.1309765230587,219097.78566925117,11.961852928,21012
18,0.6743845163473805,0.19948115267321748,0.41627461402142635,0.11233474287481698,0.33042443474811584,193.24890208244324,0.00010928109264101724,1.1437816208523839,213568.5971010318,11.961827328,22248
19,0.66525664506028,0.18602941755419405,0.41006247088557385,0.10911642139738989,0.32116223720745735,193.46368741989136,9.408351736036278e-05,1.148232876724024,212233.74835680722,11.961828352,23484
20,0.6575635200227734,0.19931171836742845,0.40525819239069205,0.10859692764297957,0.31870289567631893,198.4658648967743,7.95387575065061e-05,1.1549121595219887,208281.68269602436,11.961842688,24720
21,0.6385746315652113,0.18301033808342393,0.3991562856025383,0.1057695633514187,0.31197937326457753,193.59881114959717,6.581511573086043e-05,1.1675759627209512,211965.82047600788,11.961844736,25956
22,0.6322642605040452,0.19145439868333003,0.39469659817023356,0.10455135547860171,0.30977786592621975,191.02758073806763,5.3071393232008324e-05,1.1721107565758684,217243.20840227758,11.961821696,27192
23,0.6147818428171877,0.1791500190767325,0.385525220241703,0.10402637802036886,0.3062475208250694,195.04310727119446,4.1455052209875e-05,1.1636104935291902,212643.24621608705,11.961857024,28428
24,0.6063755293012051,0.18053760144802486,0.3871525076569104,0.10201274501962541,0.3015866719555732,195.67432570457458,3.110050952753626e-05,1.1743050251385154,211645.29559102902,11.961848832,29664
25,0.6001548645324691,0.18331624137914165,0.38276496383010367,0.10054005815149217,0.29726299087663627,200.76201581954956,2.2127581325314766e-05,1.1685175154490763,202324.27365071783,11.961844224,30900
26,0.6008113889222585,0.18439158433188627,0.3806308551889951,0.09983833118405706,0.2960531535105117,202.63923048973083,1.4640096585094796e-05,1.1817532251182112,204929.27477612818,11.961829888,32136
27,0.5962906072223649,0.18430841039870888,0.38011130934855974,0.09935672235973783,0.29559698532328443,204.88225078582764,8.724695687800881e-06,1.1721212286682963,201904.69484434664,11.961824768,33372
28,0.5938325042694711,0.1877549548183183,0.3803504446490866,0.09885561523991332,0.29363347877826257,205.06066727638245,4.449827866365841e-06,1.18254565802014,202711.79197346917,11.96184576,34608
29,0.5890475903490022,0.18588813503850282,0.3800987630593972,0.09914156287913216,0.2946648155493852,200.4197278022766,1.8649591550190586e-06,1.168985773348114,208725.53908334562,11.961846272,35844
30,0.5904166835652586,0.1927588180548515,0.3800091489416654,0.09921114881006142,0.2942284807616025,201.37420082092285,1e-06,1.1779258921019082,205053.7311655361,11.961826304,37080
