epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.587632033527862,0.307411451242483,1.8878948278114445,0.5192485707325176,0.9948433161443871,237.79237484931946,0.00029996843639440034,1.0650353591081394,170167.53579412075,21.700847104,1236
2,1.8045405207328427,0.20491475946290885,1.328276876543389,0.3498920442270484,0.7961126537088457,236.3469204902649,0.0002987736939316783,1.1588941108929687,171131.18672219236,21.697195008,2472
3,1.488348238676497,0.18519631661566158,1.09303518006059,0.28771938398403724,0.7158270527568426,235.0094027519226,0.00029586322318782325,1.2328672628958248,170570.53027359754,21.697157632,3708
4,1.3372302745441789,0.1998757441247217,0.9543713966353995,0.25421498638284745,0.6506941689805633,239.00566411018372,0.0002912707022673878,1.2188911536847118,170729.80080501884,21.697135616,4944
5,1.2190032056427311,0.18502555075839233,0.843829586857655,0.23180938551565228,0.6125545418484728,238.57451844215393,0.0002850492728829438,1.2294156157854692,170678.05005713686,21.697153536,6180
6,1.1338097473853614,0.19636374221950303,0.7758175251913852,0.21302513905817827,0.5730265767552558,239.92792630195618,0.00027727092543319853,1.243489113054615,170620.43229414703,21.697160192,7416
7,1.084563226086422,0.20033931556183995,0.7251137973832302,0.19943983331254372,0.5438318127727092,237.51001930236816,0.00026802566597618,1.2543020627452333,171152.7123693152,21.697128448,8652
8,1.0267947751630857,0.2017582206755199,0.6872536413005141,0.18762045476785505,0.5238992463308211,239.03637528419495,0.0002574204747367426,1.2730895246599099,170682.84305815186,21.697165824,9888
9,0.9925671317720105,0.20616527200450424,0.6438175869769738,0.17956495375276824,0.5031733439111463,240.02858233451843,0.00024557806819988014,1.2748654427362491,170539.0106112845,21.697167872,11124
10,0.9453596752438345,0.2038711431933661,0.6195372807197883,0.1680506576495964,0.47538675128917096,240.32344245910645,0.00023263547911410768,1.2628925695388449,170834.50916479016,21.697162752,12360
11,0.9129711724697194,0.20123672920957825,0.5981980757635148,0.1610592323407888,0.4621777072590242,240.03728318214417,0.00021874247083620657,1.2822509516018494,170718.6276463258,21.697138176,13596
12,0.8929569842263718,0.19526268327851268,0.5720519013092166,0.15362891904261478,0.44450614835382785,238.81430101394653,0.00020405980436551748,1.308111705102967,170727.10272157087,21.69715712,14832
13,0.8582855807346048,0.1857292562759135,0.5611731263457752,0.15080102892893818,0.43510511701705673,240.88723921775818,0.00018875737812055438,1.3027852763539378,170033.5390942903,21.697132544,16068
14,0.8467483304465087,0.20144089586218383,0.5486529791941408,0.14366966434488182,0.41745339151130506,239.05693006515503,0.00017301226198325145,1.3239124742815795,170734.11789409933,21.697140736,17304
15,0.8229045248726039,0.19136135152844422,0.5190212032834037,0.141500028577438,0.4117215390717969,239.52064299583435,0.00015700664835962614,1.3337190956552438,170774.97900240484,21.697138688,18540
16,0.8061631385321371,0.2034154979616804,0.5114184676623735,0.13542746690568763,0.39879016263387546,242.5227496623993,0.00014092574396587173,1.349067689965458,169481.52882850642,21.697145856,19776
17,0.786023114756666,0.20385475891441954,0.4860668040689875,0.1334115521458633,0.39311781039270133,240.04448103904724,0.00012495562673478242,1.3534548257064665,170447.6388710434,21.697163776,21012
18,0.7659208413611338,0.20565571203577784,0.4837094711475685,0.13126491765503742,0.3870487901626339,241.9574635028839,0.00010928109264101724,1.3864330929074087,169139.46316201444,21.697138176,22248
19,0.7555764520293686,0.19225990554130543,0.4830235961030741,0.12814350834580862,0.3772709242364141,240.79704642295837,9.408351736036278e-05,1.3828552447765776,170121.93144334923,21.6971392,23484
20,0.7495397717291098,0.20614842341606393,0.4728268507074137,0.1253183997948279,0.3726497421658072,242.97738695144653,7.95387575065061e-05,1.414586883918367,168526.4352891839,21.697153536,24720
21,0.7295304757443447,0.18854938113508404,0.46564739893694396,0.12380649935396644,0.3696350654502182,242.07902550697327,6.581511573086043e-05,1.4173574244609544,169094.5009011973,21.697155584,25956
22,0.7211082931668241,0.19712787142915736,0.4629565145148606,0.12119995115597756,0.3634470448234827,241.31383442878723,5.3071393232008324e-05,1.4363090066076483,169816.90966355274,21.697132544,27192
23,0.70369211639787,0.1856995576412813,0.4551238148915963,0.12009931630122421,0.35757635858786196,240.41302704811096,4.1455052209875e-05,1.4289103420421143,171209.06056650047,21.697167872,28428
24,0.695633049994032,0.1874703407290293,0.4529642203792197,0.11971025886164564,0.35690202300674334,241.40801548957825,3.110050952753626e-05,1.4470750557855494,170476.23900487198,21.69715968,29664
25,0.6894517399394782,0.1897125537721928,0.4459568887460427,0.11821074494335712,0.353907179690599,240.09681224822998,2.2127581325314766e-05,1.4707767253072517,170760.76752814793,21.697155072,30900
26,0.6894197696910321,0.19066000307207617,0.4426759789224531,0.11856748556768038,0.35493851646172153,240.29711151123047,1.4640096585094796e-05,1.4637439878820215,170642.9954306084,21.697140736,32136
27,0.683661148699549,0.189907504312561,0.44429332066754823,0.11789929489728641,0.3529948433161444,240.6742696762085,8.724695687800881e-06,1.4820003390408643,170353.60375261147,21.697135616,33372
28,0.6827480104121961,0.19456545504807585,0.44348381630709915,0.11727035024583668,0.35160650535501786,239.8531472682953,4.449827866365841e-06,1.4747956339209596,170807.59614370004,21.697156608,34608
29,0.6769526381901553,0.19091388791902164,0.44102838342307044,0.11704435717159586,0.3506148353827846,238.97335052490234,1.8649591550190586e-06,1.472461720597011,171578.6451604933,21.69715712,35844
30,0.6782840686612145,0.19949364135580303,0.44225803897029065,0.11691226317708123,0.3499603332011107,239.67275643348694,1e-06,1.4775863239680294,170053.8515479592,21.697137152,37080
