epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.5825762184499537,0.31485218919061786,1.8597250180166276,0.5112514885196785,0.9664617215390718,438.575660943985,0.00029996843639440034,1.0592535413126536,93924.81121443691,38.269981696,1236
2,1.8084675337890206,0.20104214629731523,1.3305954346891309,0.35748130510957443,0.8108687028956764,434.62647676467896,0.0002987736939316783,1.1287312746819556,94536.2024578694,38.2678144,2472
3,1.499825692581899,0.18289683976425775,1.096175383348934,0.2953584072444171,0.7282427608092027,438.7178361415863,0.00029586322318782325,1.1695490346371549,94111.4760601842,38.267777024,3708
4,1.356904435939002,0.1980541293517125,0.965520797205753,0.2616126579889013,0.6633280444268148,437.80703949928284,0.0002912707022673878,1.2223532592883775,94351.93283870113,38.267755008,4944
5,1.2453782074273982,0.18513773929777197,0.8568484314152451,0.23318167489625835,0.6230860769535899,437.58449721336365,0.0002850492728829438,1.2194809272740652,94485.32393674819,38.267772928,6180
6,1.1648394409506837,0.19562662206980352,0.8083850848870199,0.21766427137083783,0.5908171360571202,433.9245843887329,0.00027727092543319853,1.2150960240549253,94619.29492326145,38.267779584,7416
7,1.1204041194857903,0.2010680771635003,0.7724272002939319,0.20497621025138274,0.5591828639428799,439.44893622398376,0.00026802566597618,1.2552779737896131,93736.57328638202,38.26774784,8652
8,1.0665917518069443,0.20196346428377057,0.7380071057647956,0.19125848992415867,0.5323284410948036,439.6852445602417,0.0002574204747367426,1.2602933519384236,93851.95223157138,38.267785216,9888
9,1.0338940751591161,0.20567972855750635,0.6961962424340795,0.18584597824651847,0.5215589051963506,438.9464604854584,0.00024557806819988014,1.2541600265645672,93860.19276203786,38.267787264,11124
10,0.9901317157888104,0.20294260027002167,0.6745223070754379,0.17433900309089598,0.49686632288774296,437.93851470947266,0.00023263547911410768,1.2463231190412176,93695.58429496587,38.267782144,12360
11,0.9585588392123435,0.2017457458955371,0.6460494941375294,0.16945589253733842,0.48113843712812376,435.9682810306549,0.00021874247083620657,1.2642245189946832,94207.69039686972,38.267757568,13596
12,0.9390093152769947,0.197056914140881,0.6317356101802138,0.16233091227861035,0.4682070606902023,434.43673157691956,0.00020405980436551748,1.2736253456293958,94603.74542221584,38.267776512,14832
13,0.9074287168609286,0.1885780094861287,0.6037791982048848,0.16146288456654795,0.4594010313367711,433.3480324745178,0.00018875737812055438,1.279931683756387,94710.69501451185,38.267751936,16068
14,0.894051719203736,0.2028162074785909,0.5969363226265204,0.15319869812705791,0.44512098373661246,432.30827236175537,0.00017301226198325145,1.3050898477483335,94683.49812845635,38.267760128,17304
15,0.8723468160359219,0.19396284896713692,0.5785860986006065,0.15084605634892248,0.4360174533915113,435.37587547302246,0.00015700664835962614,1.3025186506965014,94323.12872980109,38.26775808,18540
16,0.8552126427298611,0.20578349426710696,0.5626339599734447,0.1450692242080963,0.42433558111860376,434.3347358703613,0.00014092574396587173,1.3265431252305175,94613.95510498516,38.267765248,19776
17,0.8366873660953685,0.20502120074206104,0.545633251061205,0.1429748663859803,0.42239190797302656,433.74060821533203,0.00012495562673478242,1.3356225614505293,94344.97052233905,38.267783168,21012
18,0.8165999161001162,0.20806578305368917,0.5467570653704347,0.13949114253210207,0.41241570805236016,432.71594643592834,0.00010928109264101724,1.350906166395709,94765.54324877486,38.267757568,22248
19,0.8078527615004759,0.1958339203891387,0.5345222896239796,0.13756131937944843,0.40261800872669573,434.628751039505,9.408351736036278e-05,1.3425042920031593,94631.41832334767,38.267758592,23484
20,0.8002635609467053,0.20837193924272654,0.5330325198955224,0.1348032457426776,0.3987703292344308,435.713009595871,7.95387575065061e-05,1.3639470257323152,94292.39818248143,38.267772928,24720
21,0.7812463762208481,0.19358658835193096,0.5203135770852448,0.13276207567110657,0.3910948036493455,434.2896981239319,6.581511573086043e-05,1.3812274707173837,94276.4090337711,38.268185088,25956
22,0.7745898585875057,0.2012500627631495,0.5207869415400458,0.13006715901709578,0.38768345894486317,433.3405394554138,5.3071393232008324e-05,1.4116968876624956,94634.40643480697,38.267751936,27192
23,0.7566603712713449,0.18945073612092078,0.508528219383271,0.13005580500565206,0.3859579531931773,432.38198041915894,4.1455052209875e-05,1.4113929451572857,94779.63789825763,38.267787264,28428
24,0.7482033010246685,0.19121275237668808,0.5194184252473174,0.12723769593456746,0.37990876636255455,432.48446679115295,3.110050952753626e-05,1.4294384838018603,94734.58894456265,38.267779072,29664
25,0.741419741323272,0.19384887838118717,0.5106557729791422,0.1266177504199142,0.3775089250297501,437.2365782260895,2.2127581325314766e-05,1.429372864971269,94452.49905066604,38.268553216,30900
26,0.7424589872456677,0.19505494835153317,0.5044170232092748,0.12661867275208455,0.3762792542641809,436.4188349246979,1.4640096585094796e-05,1.4494591673118782,94365.47195894721,38.267760128,32136
27,0.7361068815764485,0.19528236109269898,0.5008081569046271,0.125592643117324,0.37274890916303055,435.93855595588684,8.724695687800881e-06,1.4417367578517273,94353.05723063585,38.267755008,33372
28,0.7358428466956592,0.19893803056669632,0.5019117427653954,0.12569529926476147,0.3729869099563665,437.17592763900757,4.449827866365841e-06,1.4486705563890123,94461.1915115271,38.267776,34608
29,0.7296144050639424,0.19557870619049877,0.5037588354994039,0.12497203634423645,0.37191590638635463,436.88034558296204,1.8649591550190586e-06,1.4668983046483839,94532.69859670699,38.267776512,35844
30,0.731139523070607,0.20471341188603312,0.5028048367773901,0.12511658605484383,0.371420071400238,437.7364661693573,1e-06,1.4639218732184192,94206.28154435314,38.267756544,37080
