epoch,train_loss,train_loss_std,dev_loss,dev_cer,dev_wer,epoch_time_sec,learning_rate_end,grad_norm_mean,tokens_per_sec,peak_mem_gb,last_step
1,2.556669075029953,0.3169153144553558,1.836646801135579,0.5034965757748892,0.9576755255850853,192.20794582366943,0.00029996843639440034,0.9792840710470399,214853.77086111406,6.440098816,1236
2,1.79476426286219,0.19784649761627138,1.3123462884152521,0.3566370841401484,0.8115033716779055,192.13978362083435,0.0002987736939316783,1.0285017756582464,217803.22516213512,6.44028928,2472
3,1.5020037705265588,0.18158395565831237,1.103475920489577,0.30037927286956184,0.7305632685442285,192.0761501789093,0.00029586322318782325,1.0868517109780635,218451.15298204118,6.439964672,3708
4,1.361455283166907,0.19735897191260696,0.997991856004371,0.2599424427198445,0.6638040460134867,192.05944299697876,0.0002912707022673878,1.1393376404606408,221896.09542433798,6.439942656,4944
5,1.2516771922412429,0.18439160727101023,0.8790180653822227,0.23596236943399132,0.6279452598175327,190.88853406906128,0.0002850492728829438,1.1501283939795202,222664.64303687346,6.441124352,6180
6,1.1728146002419944,0.194392927728753,0.8341749115068404,0.2230457812397385,0.5942483141610472,190.84651350975037,0.00027727092543319853,1.1691158726377395,221261.88847883744,6.440467968,7416
7,1.1236769220396925,0.19981833503604585,0.7751021991010572,0.20640718760129345,0.5621380404601348,186.38538813591003,0.00026802566597618,1.179790568824339,224005.53651424075,6.438490624,8652
8,1.070083514965082,0.20118201024678914,0.7398444414138794,0.19351381555047767,0.536275287584292,190.92128682136536,0.0002574204747367426,1.1952842168244728,222548.21280160805,6.441225216,9888
9,1.0377945370465806,0.20495096058558973,0.6967931077128551,0.18362420879619304,0.5156287187623959,186.96575021743774,0.00024557806819988014,1.1976393959861742,222837.2439335588,6.441196544,11124
10,0.9944995795542368,0.20288887246770548,0.6691728864536911,0.17596062996261758,0.5002181673938914,187.75628328323364,0.00023263547911410768,1.2140846439549837,228727.04346398532,6.4412544,12360
11,0.9631207169645427,0.20109893818036645,0.646864586189145,0.1681766895096118,0.4807814359381198,186.98604321479797,0.00021874247083620657,1.2293001137022834,224584.55450538563,6.439945216,13596
12,0.9449897132645148,0.19762061499739111,0.6254301779582853,0.16261148313890372,0.46767155890519635,191.5734612941742,0.00020405980436551748,1.2438401073024496,220503.1181139934,6.441095168,14832
13,0.9115365494319922,0.18744026146080386,0.6114921906932456,0.15823688866116067,0.456743355811186,190.9230444431305,0.00018875737812055438,1.2561802699631472,222621.62779252158,6.439939584,16068
14,0.8984093234955686,0.2012927187195983,0.5912168187196137,0.15207499825177798,0.4380999603332011,193.20195150375366,0.00017301226198325145,1.2709927936973695,218419.80534379397,6.442061312,17304
15,0.8770906041258747,0.19399807841614278,0.5775472165131178,0.14948257610225904,0.4354621182070607,192.50338339805603,0.00015700664835962614,1.2936978368118743,222020.85845258288,6.440093184,18540
16,0.8614257166831238,0.2060224937802243,0.5740235721478697,0.14632315674864077,0.42731059103530344,189.41505908966064,0.00014092574396587173,1.308785444710247,224733.13132876292,6.442323456,19776
17,0.8421421808380525,0.20657673537756702,0.5683184886564974,0.142679860163593,0.41862356207854023,192.090811252594,0.00012495562673478242,1.3330688497298744,220155.84255776432,6.439970816,21012
18,0.8215234668316579,0.2075391563422403,0.5483961916360699,0.1400075228866122,0.41263387544625146,192.99938821792603,0.00010928109264101724,1.3290630687498353,219850.1966110747,6.438500352,22248
19,0.8122439256667319,0.1955428420605096,0.5498073101043701,0.13643212821399595,0.40358984529948433,195.83879113197327,9.408351736036278e-05,1.3475493859125958,216968.98020425238,6.440093696,23484
20,0.806027064069768,0.2079350170519909,0.5467529345731266,0.13385708174481475,0.3973026576755256,195.01570439338684,7.95387575065061e-05,1.3873182032679277,219061.07377182835,6.441135616,24720
21,0.7866878941124696,0.19311661726508803,0.5271608375135015,0.1330658255288276,0.3928798095993653,195.56789255142212,6.581511573086043e-05,1.3872517711907915,216537.1661631979,6.441114624,25956
22,0.7794173247268285,0.20126165241101648,0.5264473503730336,0.13022876530849958,0.3860174533915113,193.61573576927185,5.3071393232008324e-05,1.4048849342806826,215753.48186337767,6.43849472,27192
23,0.761169549981946,0.19036283145284966,0.5088542157509288,0.12932364347042954,0.38385561285204284,188.07295393943787,4.1455052209875e-05,1.4168442778506325,216204.9013575243,6.440003072,28428
24,0.752552525414618,0.1918342349023037,0.5202795213363209,0.12813046245860296,0.38171360571201907,195.62776637077332,3.110050952753626e-05,1.420890458145188,216090.4059468525,6.439968256,29664
25,0.7464615984738452,0.19437493892073787,0.5101608272458686,0.1266041956841273,0.37774692582308605,196.97646498680115,2.2127581325314766e-05,1.4152287157993872,215612.28998385757,6.441119232,30900
26,0.7474477966964052,0.19542149431506808,0.5090169911501837,0.12629479524790746,0.3761007536691789,196.04264307022095,1.4640096585094796e-05,1.4313642354651948,215607.6534446465,6.44017152,32136
27,0.7417700993783266,0.19491075682316944,0.503209897729217,0.12735534189165723,0.37830226100753667,191.55948781967163,8.724695687800881e-06,1.4371708143490418,218843.4639928565,6.438497792,33372
28,0.7406980070047394,0.19958700757775522,0.5038701755101563,0.1262577966131672,0.375386751289171,184.4745488166809,4.449827866365841e-06,1.4486531983687267,222023.380361422,6.439963648,34608
29,0.7345592173413166,0.19472276313397915,0.5059758019251902,0.12528179804614445,0.37393891312971045,190.02846693992615,1.8649591550190586e-06,1.4453874055814588,223438.8235625224,6.441094144,35844
30,0.736040203244362,0.2042240184254543,0.5046419652759052,0.12547028092267518,0.37352241174137246,190.7248237133026,1e-06,1.4398645559946697,223011.88804405415,6.438499328,37080
