2026-04-22 16:48:24,550 INFO src.training.train backbone=rwkv6_lucid params=10M seq_len=64 K=16 Q=16 batch=32
2026-04-22 16:48:29,162 INFO src.training.train step=50 epoch=1 loss=8.8075 grad=0.833 lr=3.00e-04
2026-04-22 16:48:33,688 INFO src.training.train step=100 epoch=1 loss=8.4379 grad=0.741 lr=2.25e-04
2026-04-22 16:48:33,997 INFO src.training.train EVAL step=100 loss=8.4379 per_query_acc=0.0001 per_seq_acc=0.0000
2026-04-22 16:48:38,591 INFO src.training.train step=150 epoch=1 loss=8.4172 grad=0.743 lr=7.58e-05
2026-04-22 16:48:43,296 INFO src.training.train step=200 epoch=1 loss=8.3979 grad=0.746 lr=1.00e-06
2026-04-22 16:48:43,604 INFO src.training.train EVAL step=200 loss=8.3788 per_query_acc=0.0001 per_seq_acc=0.0000
2026-04-22 16:48:43,896 INFO src.training.train DONE: {
  "backbone": "rwkv6_lucid",
  "seq_len": 64,
  "n_kv_pairs": 16,
  "n_queries": 16,
  "vocab_size": 8192,
  "n_parameters": 10028056,
  "steps_taken": 200,
  "epochs_taken": 1,
  "early_stopped": false,
  "best_per_seq_acc": 0.0,
  "best_per_query_acc": 0.0001220703125,
  "best_step": 100,
  "final_per_seq_acc": 0.0,
  "final_per_query_acc": 0.0001220703125,
  "final_loss": 8.378802180290222,
  "wall_sec": 19.34493064880371,
  "seed": 42
}
2026-04-22 16:48:43,912 INFO debug_run ──────────────────────────────────────────────────────────────────────
2026-04-22 16:48:43,913 INFO debug_run [6/7] SMOKE transformer
2026-04-22 16:48:43,913 INFO debug_run ──────────────────────────────────────────────────────────────────────
2026-04-22 16:48:44,233 INFO src.training.train backbone=transformer params=8M seq_len=64 K=16 Q=16 batch=32
2026-04-22 16:48:47,936 INFO src.training.train step=50 epoch=1 loss=8.6527 grad=0.770 lr=3.00e-04
2026-04-22 16:48:51,143 INFO src.training.train step=100 epoch=1 loss=8.3802 grad=0.729 lr=2.25e-04
2026-04-22 16:48:51,244 INFO src.training.train EVAL step=100 loss=8.4133 per_query_acc=0.0002 per_seq_acc=0.0000
